Rank,Car #,School,Team,Time Run 1,Time Run 2,Best Time,Score
1,3,Univ of Michigan - Ann Arbor,Michigan Baja Racing,3.853,3.899,3.853,75
2,61,California State Univ- Chico,Wildcat racing,3.946,4.13,3.946,71.38
3,8,Ecole de Technologie Superieure,BAJA ETS,3.954,4.103,3.954,71.07
4,50,Clarkson University,Golden Knights Racing,4.059,4.032,4.032,68.03
5,11,Univ of Wisconsin - Madison,Badger Racing,4.048,4.117,4.048,67.41
6,65,Queen's Univ,Queen's Baja,4.182,4.118,4.118,64.68
7,2,Cornell Univ,Cornell Baja,4.124,4.169,4.124,64.45
8,1,Rochester Institute of Technology,RIOT RACING,4.137,4.151,4.137,63.94
9,54,Harbin Institute of Technology,HRT-Baja,4.147,4.238,4.147,63.55
10,47,Michigan State Univ,MSU Baja,4.3,4.175,4.175,62.46
11,20,Oregon State Univ,Beaver Racing,4.188,4.18,4.18,62.27
12,92,Univ of Rochester,Yellowjacket Racing,4.225,4.187,4.187,62
13,4,San Diego State Univ,Aztec Baja,4.187,4.217,4.187,62
14,37,Johns Hopkins Univ,Blue Jay Racing,4.187,4.253,4.187,62
15,16,McGill Univ,McGill Baja Racing,4.194,4.303,4.194,61.72
16,24,Univ of Calgary,Schulich Off-Road,4.207,4.291,4.207,61.22
17,10,Université Laval,Alérion,5.142,4.226,4.226,60.48
18,7,Univ of Akron,Zips Baja,4.229,4.259,4.229,60.36
19,123,California State Poly Univ - Pomona,Bronco Racing,4.326,4.243,4.243,59.82
20,83,Beijing Polytechnic,BEIJING POLYTECHNIC Baja SDK,4.267,4.254,4.254,59.39
21,6,Univ of Maryland - Baltimore County,UMBC Racing,4.258,4.36,4.258,59.23
22,78,Case Western Reserve Univ,CWRU Motorsports,4.262,4.3,4.262,59.08
23,70,Ohio Northern Univ,Polar Bear Racing,4.363,4.282,4.282,58.3
24,9,Arizona State Univ Polytechnic,Sun Devil Racing,4.4,4.302,4.302,57.52
25,22,McMaster Univ,McMaster Baja Racing,4.308,4.309,4.308,57.29
26,5,California Polytechnic State Univ-SLO,Cal Poly Racing,4.348,4.312,4.312,57.13
27,35,Univ of Calif - Los Angeles,Bruin Racing,4.359,4.322,4.322,56.74
28,18,Lushan College of GXUST,LS Racing Baja,4.332,4.371,4.332,56.35
