Rank,Car #,School,Team,Report Score,Penalty Points,Final Score,Message For Team
1,8,Ecole de Technologie Superieure,BAJA ETS,15,0,100,
2,6,Univ of Maryland - Baltimore County,UMBC Racing,15,0,96.54,
3,3,Univ of Michigan - Ann Arbor,Michigan Baja Racing,15,0,94.38,
4,149,Kettering Univ,Kettering Motorsports,15,0,89.62,
5,61,California State Univ- Chico,Wildcat racing,15,0,87.27,
6,10,Université Laval,Alérion,15,0,86.09,
7,1,Rochester Institute of Technology,RIOT RACING,15,0,85.99,
8,102,Georgia Institute of Technology,GT Off-Road,15,0,85.41,
9,19,Texas A&M Univ,Texas A&M Baja,15,0,84.98,
10,11,Univ of Wisconsin - Madison,Badger Racing,15,0,84.7,
11,85,Virginia Tech,VT Baja,15,0,84.42,
12,25,Vellore Institute of Technology,Team Jaabaz,15,0,84.41,
13,51,Univ of Iowa,Hawkeye Motorsports,15,0,84.38,
14,2,Cornell Univ,Cornell Baja,15,0,83.03,
14,13,New Jersey Institute of Technology,Highlander Racing,15,0,83.03,
16,7,Univ of Akron,Zips Baja,15,0,82.88,
17,17,Univ of Missouri - Kansas City,UMKC Baja Racing,15,0,81.34,
18,5,California Polytechnic State Univ-SLO,Cal Poly Racing,15,0,81.28,
19,27,Instituto Tecnologico de Chihuahua,Panteras Racing Team,15,0,80.71,
20,72,Vellore Institute of Technology Chennai,Team Saksham International,15,0,80.59,
21,37,Johns Hopkins Univ,Blue Jay Racing,15,0,80.24,
22,121,Univ of Illinois - Chicago,UIC Motorsports,15,0,80.04,Passed Tech Late
23,78,Case Western Reserve Univ,CWRU Motorsports,15,0,79.97,
24,4,San Diego State Univ,Aztec Baja,15,0,79.93,
25,123,California State Poly Univ - Pomona,Bronco Racing,15,0,79.88,
26,110,Central Michigan Univ,Chippewa Performance,15,0,79.6,
27,75,Changzhou Vocational Inst of Eng (CZIE),CBT,15,0,79.12,Passed Tech Late
28,20,Oregon State Univ,Beaver Racing,15,0,78.47,
29,26,ITESM - Campus QRO,exergia,15,0,77.61,Passed Tech Late
30,21,Univ of Nebraska - Lincoln,Husker Racing,15,0,75.75,
31,32,Manipal University,manipal forza x,15,0,75.55,Passed Tech Late
32,112,Universidad Autonoma de Ciudad Juarez,Indios Racing,15,0,74.85,
33,47,Michigan State Univ,MSU Baja,15,0,74.12,
34,60,ITESM - Campus Guadalajara,MADRAMS,15,0,72.69,
35,88,Northeastern Univ,Skunkworks,15,0,72.05,
36,66,Marquette Univ,Eagle Racing,15,0,71.64,
37,89,Weber State Univ,weber racing,15,0,71.26,
38,70,Ohio Northern Univ,Polar Bear Racing,15,0,70.77,
39,9,Arizona State Univ Polytechnic,Sun Devil Racing,15,0,70.03,
40,92,Univ of Rochester,Yellowjacket Racing,15,0,68.47,
41,28,California State Univ - Los Angeles,Rugged Eagle Motorsports,15,0,68.04,
42,16,McGill Univ,McGill Baja Racing,15,0,68.01,
43,22,McMaster Univ,McMaster Baja Racing,15,0,67.75,
44,125,West Virginia Univ Inst of Tech,Golden Bear Racing,15,0,67.66,Passed Tech Late
45,65,Queen's Univ,Queen's Baja,15,0,67.65,
46,38,Univ of Nevada - Las Vegas,Rebel Racing,15,0,67.44,
47,124,Univ of Memphis,Tiger Baja,15,0,66.31,Passed Tech Late
48,109,Oklahoma State Univ,Cowboy Racing,15,0,66.15,
49,74,South Dakota State Univ,Jackrabbit Baja,15,0,66.11,
50,24,Univ of Calgary,Schulich Off-Road,15,0,66,
51,80,New Mexico State Univ,NMSU Motorsports,15,0,65.18,
52,71,Seattle Pacific Univ,SPU Baja,15,0,64.1,
53,106,LeTourneau Univ,Renegade Racing,15,0,63.16,
54,86,California State Univ - Fullerton,Titan Racing Baja,15,0,62.82,
55,48,Manipal Institute of Tech,Team Manipal Racing,15,0,62.47,Passed Tech Late
56,42,South Dakota School of Mines & Tech,Hardrocker Gold,15,0,62.08,
57,34,Brigham Young Univ,BYU Baja,15,0,61.87,
58,52,Gonzaga Universtity,Holy Rollers,15,0,61.48,Cost Report Late
59,31,Utah State University,USU Baja,15,0,61,
60,138,Univ of Ottawa,Baja SAE University of Ottawa,15,0,60.64,Passed Tech Late
61,87,Univ of Alaska - Anchorage,Seawolf Motorsports,15,0,60.43,Passed Tech Late
62,68,Iowa State Univ,Cyclone Racing,15,0,60.33,
63,93,Colorado State University,Aggies Offroad,15,0,59.67,Passed Tech Late
64,35,Univ of Calif - Los Angeles,Bruin Racing,15,0,58.88,
65,33,Univ of Illinois - Urbana Champaign,Off-Road Illini,15,0,58.68,Cost Report Late
66,83,Beijing Polytechnic,BEIJING POLYTECHNIC Baja SDK,15,0,58.06,
67,12,Univ of Oklahoma,Sooner Off-Road,15,0,57.8,
68,57,San Jose State University,Spartan Racing,15,0,57.51,
69,119,North Dakota State Univ,NDSU Baja,15,0,56.83,
70,39,Oregon Inst of Tech,Oregon Tech Racing,15,0,55.68,Passed Tech Late
71,56,Ecole Polytechnique Montreal,PolyMudBees,15,0,53.75,
72,29,Baylor Univ,Baylor Baja,15,0,53.45,
73,50,Clarkson University,Golden Knights Racing,15,0,52.04,
74,103,California Maritime Academy,Cal Maritime,15,0,50.39,Passed Tech Late
75,148,California State Univ - Fresno,Bulldog Racing,15,0,49.78,Passed Tech Late
76,100,Univ of San Diego,Torero Racing,15,0,49.24,Passed Tech Late
77,77,Univ of Calif - Irvine,Anteater Racing,15,0,48.92,Passed Tech Late
78,53,Montana State Univ - Bozeman,Bobcat Motorsports,15,0,47.87,
79,122,Western University,Western Baja SAE,15,0,47.42,Passed Tech Late
80,81,Univ of British Columbia,UBC Baja,15,0,45.15,
81,108,Univ of Calif - Davis,UC Davis Baja,15,0,43.35,Passed Tech Late
82,82,Univ of Arizona,Baja Racing Team,15,0,42.69,Passed Tech Late
83,101,Univ of Petroleum & Minerals,KFUPMBAJA,15,0,34.95,Passed Tech Late
84,40,Univ of Colorado - Boulder,CU Boulder,15,0,33.3,Cost Report Late
85,115,Zhejiang Traffic Technician College,Jinying Racing Team,15,0,31.45,
86,98,Montana Tech,MTBaja,15,0,25.57,
87,18,Lushan College of GXUST,LS Racing Baja,15,0,23.66,Cost Report Late
88,54,Harbin Institute of Technology,HRT-Baja,15,0,22.22,
89,15,Boise State Univ,Bleed Blue Racing,15,0,20.28,
90,126,Univ of Regina,Cougar Racing,15,0,17.71,
91,44,Northern Arizona Univ,Lumberjack Motorsports,15,0,15,
91,58,Cetys Universidad,CMB Racing,15,0,15,Passed Tech Late
91,62,New Mexico Inst of Mining & Tech,NMT Dirty Miners,15,0,15,
91,95,Idaho State University,Idaho State University,15,0,15,Passed Tech Late
91,107,Loyola Marymount Univ,LMU LIONS,15,0,15,Passed Tech Late
91,131,ESIA Tlalnepantla,LEONES BLANCOS,15,0,15,Passed Tech Late
91,154,Universidad Anahuac Queretaro,Anahuac Racing Queretaro,15,0,15,Passed Tech Late
91,156,Univ of Virginia,Virginia Motorsports,15,0,15,
