Rank,Car #,School,Team,Report Score,Eval. Score,Bonus Points,Penalty Points,Final Score,Message For Team
1,3,Univ of Michigan - Ann Arbor,Michigan Baja Racing,0,140,15,0,155,
2,1,Rochester Institute of Technology,RIOT RACING,0,140,10,0,150,
3,8,Ecole de Technologie Superieure,BAJA ETS,0,140,8,0,148,
4,88,Northeastern Univ,Skunkworks,0,140,0,0,140,
5,9,Arizona State Univ Polytechnic,Sun Devil Racing,0,140,6,10,136,Late Report
6,2,Cornell Univ,Cornell Baja,0,130,0,0,130,
6,20,Oregon State Univ,Beaver Racing,0,130,0,0,130,
6,92,Univ of Rochester,Yellowjacket Racing,0,130,0,0,130,
9,4,San Diego State Univ,Aztec Baja,0,120,0,0,120,
9,11,Univ of Wisconsin - Madison,Badger Racing,0,120,0,0,120,
9,16,McGill Univ,McGill Baja Racing,0,130,0,10,120,Late Report
9,61,California State Univ- Chico,Wildcat racing,0,120,0,0,120,
9,65,Queen's Univ,Queen's Baja,0,120,0,0,120,
9,86,California State Univ - Fullerton,Titan Racing Baja,0,120,0,0,120,
15,6,Univ of Maryland - Baltimore County,UMBC Racing,0,110,0,0,110,
15,7,Univ of Akron,Zips Baja,0,110,0,0,110,
15,10,Université Laval,Alérion,0,110,0,0,110,
15,13,New Jersey Institute of Technology,Highlander Racing,0,110,0,0,110,
15,19,Texas A&M Univ,Texas A&M Baja,0,110,0,0,110,
15,22,McMaster Univ,McMaster Baja Racing,0,110,0,0,110,
15,24,Univ of Calgary,Schulich Off-Road,0,110,0,0,110,
15,25,Vellore Institute of Technology,Team Jaabaz,0,110,0,0,110,
15,37,Johns Hopkins Univ,Blue Jay Racing,0,110,0,0,110,
15,72,Vellore Institute of Technology Chennai,Team Saksham International,0,120,0,10,110,Late Report
15,78,Case Western Reserve Univ,CWRU Motorsports,0,110,0,0,110,
15,123,California State Poly Univ - Pomona,Bronco Racing,0,110,0,0,110,
27,5,California Polytechnic State Univ-SLO,Cal Poly Racing,0,100,0,0,100,
27,12,Univ of Oklahoma,Sooner Off-Road,0,100,0,0,100,
27,21,Univ of Nebraska - Lincoln,Husker Racing,0,100,0,0,100,
27,33,Univ of Illinois - Urbana Champaign,Off-Road Illini,0,100,0,0,100,
27,35,Univ of Calif - Los Angeles,Bruin Racing,0,100,0,0,100,
27,42,South Dakota School of Mines & Tech,Hardrocker Gold,0,100,0,0,100,
27,54,Harbin Institute of Technology,HRT-Baja,0,100,0,0,100,
27,56,Ecole Polytechnique Montreal,PolyMudBees,0,100,0,0,100,
27,81,Univ of British Columbia,UBC Baja,0,100,0,0,100,
27,102,Georgia Institute of Technology,GT Off-Road,0,110,0,10,100,Late Report
37,17,Univ of Missouri - Kansas City,UMKC Baja Racing,0,90,0,0,90,
37,34,Brigham Young Univ,BYU Baja,0,90,0,0,90,
37,51,Univ of Iowa,Hawkeye Motorsports,0,90,0,0,90,
