Rank,Car #,School,Team,Time Run 1,# Minor Penalty Run 1,Total Time Run 1,Time Run 2,# Minor Penalty Run 2,Total Time Run 2,Best Time,Score
1,3,Univ of Michigan - Ann Arbor,Michigan Baja Racing,59.181,0,59.181,57.739,0,57.739,57.739,75
2,20,Oregon State Univ,Beaver Racing,59.109,0,59.109,57.256,2,61.256,59.109,72.93
3,18,Lushan College of GXUST,LS Racing Baja,62.267,0,62.267,59.344,0,59.344,59.344,72.58
4,5,California Polytechnic State Univ-SLO,Cal Poly Racing,60.582,0,60.582,59.992,0,59.992,59.992,71.6
5,8,Ecole de Technologie Superieure,BAJA ETS,67.257,1,69.257,60.673,0,60.673,60.673,70.58
6,11,Univ of Wisconsin - Madison,Badger Racing,63.45,0,63.45,61.203,0,61.203,61.203,69.78
7,33,Univ of Illinois - Urbana Champaign,Off-Road Illini,61.323,1,63.323,61.514,0,61.514,61.514,69.31
8,35,Univ of Calif - Los Angeles,Bruin Racing,62.621,0,62.621,62.399,1,64.399,62.621,67.64
9,54,Harbin Institute of Technology,HRT-Baja,68.799,1,70.799,62.707,0,62.707,62.707,67.51
10,88,Northeastern Univ,Skunkworks,64.449,1,66.449,62.718,0,62.718,62.718,67.49
11,10,Université Laval,Alérion,65.487,0,65.487,63.921,1,65.921,65.487,63.32
12,50,Clarkson University,Golden Knights Racing,56.925,0,--DNF--,61.563,2,65.563,65.563,63.2
13,38,Univ of Nevada - Las Vegas,Rebel Racing,63.524,2,67.524,66.644,0,66.644,66.644,61.57
14,110,Central Michigan Univ,Chippewa Performance,69.119,0,69.119,66.727,0,66.727,66.727,61.45
15,28,California State Univ - Los Angeles,Rugged Eagle Motorsports,77.369,4,85.369,67.21,0,67.21,67.21,60.72
16,1,Rochester Institute of Technology,RIOT RACING,33.318,0,--DNF--,65.336,1,67.336,67.336,60.53
17,123,California State Poly Univ - Pomona,Bronco Racing,58.791,0,--DNF--,67.469,0,67.469,67.469,60.33
18,65,Queen's Univ,Queen's Baja,73.52,0,73.52,68.077,0,68.077,68.077,59.41
19,85,Virginia Tech,VT Baja,54.612,0,--DNF--,68.624,0,68.624,68.624,58.58
20,2,Cornell Univ,Cornell Baja,67.02,1,69.02,64.9,5,74.9,69.02,57.99
21,80,New Mexico State Univ,NMSU Motorsports,76.453,0,--DNF--,65.893,2,69.893,69.893,56.67
22,34,Brigham Young Univ,BYU Baja,70.043,0,70.043,48.734,0,--DNF--,70.043,56.44
23,149,Kettering Univ,Kettering Motorsports,38.588,0,--DNF--,70.105,0,70.105,70.105,56.35
24,16,McGill Univ,McGill Baja Racing,74.66,2,78.66,65.05,3,71.05,71.05,54.93
25,57,San Jose State University,Spartan Racing,41.094,0,--DNF--,67.139,2,71.139,71.139,54.79
26,17,Univ of Missouri - Kansas City,UMKC Baja Racing,67.203,2,71.203,65.832,4,73.832,71.203,54.69
27,68,Iowa State Univ,Cyclone Racing,69.333,4,77.333,69.431,1,71.431,71.431,54.35
28,25,Vellore Institute of Technology,Team Jaabaz,33.848,0,--DNF--,73.34,0,73.34,73.34,51.47
29,7,Univ of Akron,Zips Baja,68.2,3,74.2,43.474,0,--DNF--,74.2,50.17
30,72,Vellore Institute of Technology Chennai,Team Saksham International,48.467,0,--DNF--,68.285,3,74.285,74.285,50.05
31,78,Case Western Reserve Univ,CWRU Motorsports,70.808,6,82.808,70.913,2,74.913,74.913,49.1
32,37,Johns Hopkins Univ,Blue Jay Racing,59.461,0,--DNF--,74.303,1,76.303,76.303,47
33,42,South Dakota School of Mines & Tech,Hardrocker Gold,66.501,5,76.501,35.874,0,--DNF--,76.501,46.7
34,81,Univ of British Columbia,UBC Baja,75.835,2,79.835,73.883,2,77.883,77.883,44.62
35,66,Marquette Univ,Eagle Racing,70.988,4,78.988,0,0,--DNF--,78.988,42.95
36,106,LeTourneau Univ,Renegade Racing,82.962,0,82.962,77.246,1,79.246,79.246,42.57
37,29,Baylor Univ,Baylor Baja,79.381,2,83.381,72.299,4,80.299,80.299,40.98
38,56,Ecole Polytechnique Montreal,PolyMudBees,74.104,4,82.104,27.244,0,--DNF--,82.104,38.25
39,109,Oklahoma State Univ,Cowboy Racing,88.674,5,98.674,90.595,2,94.595,94.595,19.42
40,115,Zhejiang Traffic Technician College,Jinying Racing Team,104.115,2,108.115,91.785,3,97.785,97.785,14.61
41,15,Boise State Univ,Bleed Blue Racing,93.452,4,101.452,41.011,0,--DNF--,101.452,9.08
42,89,Weber State Univ,weber racing,100.51,3,106.51,121.191,5,131.191,106.51,1.45
43,71,Seattle Pacific Univ,SPU Baja,95.47,6,107.47,108.424,7,122.424,107.47,0
,4,San Diego State Univ,Aztec Baja,,,,,,,,0
,6,Univ of Maryland - Baltimore County,UMBC Racing,,,,,,,,0
,9,Arizona State Univ Polytechnic,Sun Devil Racing,,,,,,,,0
,12,Univ of Oklahoma,Sooner Off-Road,,,,,,,,0
,13,New Jersey Institute of Technology,Highlander Racing,,,,,,,,0
,19,Texas A&M Univ,Texas A&M Baja,,,,,,,,0
,21,Univ of Nebraska - Lincoln,Husker Racing,,,,,,,,0
,22,McMaster Univ,McMaster Baja Racing,,,,,,,,0
,24,Univ of Calgary,Schulich Off-Road,,,,,,,,0
,26,ITESM - Campus QRO,exergia,,,,,,,,0
