Rank,Car #,School,Team,Eval. Score,Final Score,Message For Team
1,8,Ecole de Technologie Superieure,BAJA ETS,55,55,
2,72,Vellore Institute of Technology Chennai,Team Saksham International,54,54,
3,37,Johns Hopkins Univ,Blue Jay Racing,51,51,
4,3,Univ of Michigan - Ann Arbor,Michigan Baja Racing,48,48,
4,25,Vellore Institute of Technology,Team Jaabaz,48,48,
6,5,California Polytechnic State Univ-SLO,Cal Poly Racing,47,47,
6,92,Univ of Rochester,Yellowjacket Racing,47,47,
8,65,Queen's Univ,Queen's Baja,46,46,
8,123,California State Poly Univ - Pomona,Bronco Racing,46,46,
10,1,Rochester Institute of Technology,RIOT RACING,45,45,
10,20,Oregon State Univ,Beaver Racing,45,45,
12,12,Univ of Oklahoma,Sooner Off-Road,44,44,
12,61,California State Univ- Chico,Wildcat racing,44,44,
14,2,Cornell Univ,Cornell Baja,43,43,
14,102,Georgia Institute of Technology,GT Off-Road,43,43,
16,17,Univ of Missouri - Kansas City,UMKC Baja Racing,42,42,
16,19,Texas A&M Univ,Texas A&M Baja,42,42,
18,38,Univ of Nevada - Las Vegas,Rebel Racing,41,41,
18,149,Kettering Univ,Kettering Motorsports,41,41,
20,7,Univ of Akron,Zips Baja,40,40,
20,16,McGill Univ,McGill Baja Racing,40,40,
22,85,Virginia Tech,VT Baja,39,39,
22,112,Universidad Autonoma de Ciudad Juarez,Indios Racing,39,39,
24,22,McMaster Univ,McMaster Baja Racing,38,38,
24,47,Michigan State Univ,MSU Baja,38,38,
24,53,Montana State Univ - Bozeman,Bobcat Motorsports,38,38,
27,21,Univ of Nebraska - Lincoln,Husker Racing,37,37,
27,33,Univ of Illinois - Urbana Champaign,Off-Road Illini,37,37,
29,9,Arizona State Univ Polytechnic,Sun Devil Racing,36,36,
29,35,Univ of Calif - Los Angeles,Bruin Racing,36,36,
31,39,Oregon Inst of Tech,Oregon Tech Racing,35,35,
31,70,Ohio Northern Univ,Polar Bear Racing,35,35,
33,6,Univ of Maryland - Baltimore County,UMBC Racing,34,34,
33,51,Univ of Iowa,Hawkeye Motorsports,34,34,
35,54,Harbin Institute of Technology,HRT-Baja,33,33,
35,77,Univ of Calif - Irvine,Anteater Racing,33,33,
37,81,Univ of British Columbia,UBC Baja,32,32,
37,106,LeTourneau Univ,Renegade Racing,32,32,
39,13,New Jersey Institute of Technology,Highlander Racing,31,31,
39,31,Utah State University,USU Baja,31,31,
41,80,New Mexico State Univ,NMSU Motorsports,30,30,
41,88,Northeastern Univ,Skunkworks,30,30,
43,68,Iowa State Univ,Cyclone Racing,29,29,
43,115,Zhejiang Traffic Technician College,Jinying Racing Team,29,29,
45,78,Case Western Reserve Univ,CWRU Motorsports,28,28,
45,83,Beijing Polytechnic,BEIJING POLYTECHNIC Baja SDK,28,28,
47,34,Brigham Young Univ,BYU Baja,27,27,
47,50,Clarkson University,Golden Knights Racing,27,27,
49,4,San Diego State Univ,Aztec Baja,26,26,
49,40,Univ of Colorado - Boulder,CU Boulder,26,26,
49,74,South Dakota State Univ,Jackrabbit Baja,26,26,
52,10,Université Laval,Alérion,25,25,
52,58,Cetys Universidad,CMB Racing,25,25,
54,29,Baylor Univ,Baylor Baja,24,24,
54,89,Weber State Univ,weber racing,24,24,
56,56,Ecole Polytechnique Montreal,PolyMudBees,23,23,
56,82,Univ of Arizona,Baja Racing Team,23,23,
58,86,California State Univ - Fullerton,Titan Racing Baja,22,22,
58,109,Oklahoma State Univ,Cowboy Racing,22,22,
60,42,South Dakota School of Mines & Tech,Hardrocker Gold,21,21,
60,110,Central Michigan Univ,Chippewa Performance,21,21,
62,71,Seattle Pacific Univ,SPU Baja,20,20,
62,125,West Virginia Univ Inst of Tech,Golden Bear Racing,20,20,
64,32,Manipal University,manipal forza x,19,19,
64,100,Univ of San Diego,Torero Racing,19,19,
66,11,Univ of Wisconsin - Madison,Badger Racing,18,18,
66,101,Univ of Petroleum & Minerals,KFUPMBAJA,18,18,
68,24,Univ of Calgary,Schulich Off-Road,17,17,
68,119,North Dakota State Univ,NDSU Baja,17,17,
70,60,ITESM - Campus Guadalajara,MADRAMS,16,16,
70,156,Univ of Virginia,Virginia Motorsports,16,16,
72,18,Lushan College of GXUST,LS Racing Baja,15,15,
72,122,Western University,Western Baja SAE,15,15,
74,57,San Jose State University,Spartan Racing,14,14,
74,66,Marquette Univ,Eagle Racing,14,14,
74,126,Univ of Regina,Cougar Racing,14,14,
77,15,Boise State Univ,Bleed Blue Racing,13,13,
77,98,Montana Tech,MTBaja,13,13,
79,62,New Mexico Inst of Mining & Tech,NMT Dirty Miners,12,12,
79,121,Univ of Illinois - Chicago,UIC Motorsports,12,12,
81,27,Instituto Tecnologico de Chihuahua,Panteras Racing Team,11,11,
81,148,California State Univ - Fresno,Bulldog Racing,11,11,
83,44,Northern Arizona Univ,Lumberjack Motorsports,10,10,
83,138,Univ of Ottawa,Baja SAE University of Ottawa,10,10,
85,26,ITESM - Campus QRO,exergia,0,0,
85,28,California State Univ - Los Angeles,Rugged Eagle Motorsports,0,0,
85,48,Manipal Institute of Tech,Team Manipal Racing,0,0,
85,52,Gonzaga Universtity,Holy Rollers,0,0,
85,75,Changzhou Vocational Inst of Eng (CZIE),CBT,0,0,
85,87,Univ of Alaska - Anchorage,Seawolf Motorsports,0,0,
85,93,Colorado State University,Aggies Offroad,0,0,
85,95,Idaho State University,Idaho State University,0,0,
85,103,California Maritime Academy,Cal Maritime,0,0,
85,107,Loyola Marymount Univ,LMU LIONS,0,0,
85,108,Univ of Calif - Davis,UC Davis Baja,0,0,
85,124,Univ of Memphis,Tiger Baja,0,0,
85,131,ESIA Tlalnepantla,LEONES BLANCOS,0,0,
85,154,Universidad Anahuac Queretaro,Anahuac Racing Queretaro,0,0,
