Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
1,3,Univ of Michigan - Ann Arbor,Michigan Baja Racing,600,28.301,600,25.915,25.915,600,75
2,5,California Polytechnic State Univ-SLO,Cal Poly Racing,600,28.924,600,26.163,26.163,600,74.29
3,1,Rochester Institute of Technology,RIOT RACING,600,27.083,519.667,26.578,27.083,600,71.77
4,60,ITESM - Campus Guadalajara,MADRAMS,600,31.088,600,27.645,27.645,600,70.31
5,54,Harbin Institute of Technology,HRT-Baja,600,32.543,600,27.979,27.979,600,69.47
6,83,Beijing Polytechnic,BEIJING POLYTECHNIC Baja SDK,600,28.292,519.25,36.378,28.292,600,68.7
7,20,Oregon State Univ,Beaver Racing,600,34.347,600,28.826,28.826,600,67.43
8,86,California State Univ - Fullerton,Titan Racing Baja,422.333,0,600,29.019,29.019,600,66.98
9,57,San Jose State University,Spartan Racing,600,29.273,,,29.273,600,66.4
10,4,San Diego State Univ,Aztec Baja,600,32.771,600,29.46,29.46,600,65.98
11,18,Lushan College of GXUST,LS Racing Baja,600,29.47,523.083,54.091,29.47,600,65.95
12,42,South Dakota School of Mines & Tech,Hardrocker Gold,600,33.869,600,29.905,29.905,600,64.99
13,12,Univ of Oklahoma,Sooner Off-Road,600,32.842,600,29.93,29.93,600,64.94
14,68,Iowa State Univ,Cyclone Racing,522.583,33.029,600,29.977,29.977,600,64.84
15,50,Clarkson University,Golden Knights Racing,519.583,29.597,600,30.035,30.035,600,64.71
16,88,Northeastern Univ,Skunkworks,529.583,29.4,600,30.037,30.037,600,64.71
17,31,Utah State University,USU Baja,600,30.188,336,27.371,30.188,600,64.38
18,51,Univ of Iowa,Hawkeye Motorsports,600,43.123,600,30.413,30.413,600,63.91
19,8,Ecole de Technologie Superieure,BAJA ETS,522,30.456,600,30.758,30.758,600,63.19
20,115,Zhejiang Traffic Technician College,Jinying Racing Team,600,31.135,507,43.604,31.135,600,62.43
21,149,Kettering Univ,Kettering Motorsports,600,31.202,515,29.854,31.202,600,62.29
22,80,New Mexico State Univ,NMSU Motorsports,600,31.399,,,31.399,600,61.9
23,123,California State Poly Univ - Pomona,Bronco Racing,600,34.615,600,31.59,31.59,600,61.53
24,2,Cornell Univ,Cornell Baja,520.167,35.854,600,32.074,32.074,600,60.6
25,38,Univ of Nevada - Las Vegas,Rebel Racing,520.667,36.341,600,32.675,32.675,600,59.48
26,110,Central Michigan Univ,Chippewa Performance,600,35.103,600,33.101,33.101,600,58.72
27,92,Univ of Rochester,Yellowjacket Racing,518.5,35.159,600,33.332,33.332,600,58.31
28,21,Univ of Nebraska - Lincoln,Husker Racing,600,43.809,600,33.485,33.485,600,58.04
29,78,Case Western Reserve Univ,CWRU Motorsports,524.167,32.212,600,33.632,33.632,600,57.79
30,37,Johns Hopkins Univ,Blue Jay Racing,600,39.172,600,34.222,34.222,600,56.79
31,125,West Virginia Univ Inst of Tech,Golden Bear Racing,600,34.292,,,34.292,600,56.68
32,112,Universidad Autonoma de Ciudad Juarez,Indios Racing,600,34.471,600,35.401,34.471,600,56.38
33,10,Université Laval,Alérion,600,34.712,515.75,30.679,34.712,600,55.99
34,6,Univ of Maryland - Baltimore County,UMBC Racing,600,35.072,520,0,35.072,600,55.42
35,85,Virginia Tech,VT Baja,600,35.085,520.167,0,35.085,600,55.4
36,11,Univ of Wisconsin - Madison,Badger Racing,521.333,28.602,600,35.103,35.103,600,55.37
37,16,McGill Univ,McGill Baja Racing,600,35.181,294.167,23.249,35.181,600,55.25
38,40,Univ of Colorado - Boulder,CU Boulder,459.167,40.323,600,35.613,35.613,600,54.58
39,52,Gonzaga Universtity,Holy Rollers,515.5,31.734,600,35.617,35.617,600,54.57
40,27,Instituto Tecnologico de Chihuahua,Panteras Racing Team,534.5,44.599,600,35.867,35.867,600,54.19
41,53,Montana State Univ - Bozeman,Bobcat Motorsports,600,35.873,,,35.873,600,54.18
42,119,North Dakota State Univ,NDSU Baja,522.167,40.633,600,36.015,36.015,600,53.97
43,156,Univ of Virginia,Virginia Motorsports,518.667,39.202,600,37.475,37.475,600,51.86
44,56,Ecole Polytechnique Montreal,PolyMudBees,519.333,33.573,600,40.064,40.064,600,48.51
45,109,Oklahoma State Univ,Cowboy Racing,600,51.181,600,40.38,40.38,600,48.13
46,106,LeTourneau Univ,Renegade Racing,517.5,46.072,600,43.999,43.999,600,44.17
47,35,Univ of Calif - Los Angeles,Bruin Racing,531.667,36.839,521.917,33.162,0,531.667,39.14
48,98,Montana Tech,MTBaja,530.417,61.826,,,0,530.417,39.05
49,44,Northern Arizona Univ,Lumberjack Motorsports,529.917,40.334,495,0,0,529.917,39.01
50,24,Univ of Calgary,Schulich Off-Road,528.667,34.518,448,29.361,0,528.667,38.92
51,33,Univ of Illinois - Urbana Champaign,Off-Road Illini,523.583,34.067,527.583,39.68,0,527.583,38.84
52,7,Univ of Akron,Zips Baja,525.333,30.813,527.333,31.925,0,527.333,38.82
53,71,Seattle Pacific Univ,SPU Baja,511.917,58.616,527,76.974,0,527,38.8
54,102,Georgia Institute of Technology,GT Off-Road,517,40,525.167,0,0,525.167,38.66
55,28,California State Univ - Los Angeles,Rugged Eagle Motorsports,525,37.428,525,43.626,0,525,38.65
56,61,California State Univ- Chico,Wildcat racing,521.083,0,524.25,30.013,0,524.25,38.6
57,65,Queen's Univ,Queen's Baja,467.5,49.184,524.25,39.767,0,524.25,38.6
58,9,Arizona State Univ Polytechnic,Sun Devil Racing,524.25,33.345,524.167,33.927,0,524.25,38.6
59,34,Brigham Young Univ,BYU Baja,348.5,27.954,524.167,32.166,0,524.167,38.59
60,13,New Jersey Institute of Technology,Highlander Racing,462.667,33.055,524,33.935,0,524,38.58
61,17,Univ of Missouri - Kansas City,UMKC Baja Racing,519,0,524,39.469,0,524,38.58
62,66,Marquette Univ,Eagle Racing,518.25,33.984,523.583,39.73,0,523.583,38.55
63,19,Texas A&M Univ,Texas A&M Baja,523.25,38.226,,,0,523.25,38.52
64,81,Univ of British Columbia,UBC Baja,523,0,519.167,35.237,0,523,38.51
65,72,Vellore Institute of Technology Chennai,Team Saksham International,521,35.234,522.75,32.081,0,522.75,38.49
66,47,Michigan State Univ,MSU Baja,522.167,43.289,519.917,41.794,0,522.167,38.44
67,25,Vellore Institute of Technology,Team Jaabaz,522.167,54.061,462,35.813,0,522.167,38.44
68,70,Ohio Northern Univ,Polar Bear Racing,522,32.43,,,0,522,38.43
69,29,Baylor Univ,Baylor Baja,448.75,0,518.333,0,0,518.333,38.16
70,126,Univ of Regina,Cougar Racing,518,48.186,329.667,26.985,0,518,38.14
71,22,McMaster Univ,McMaster Baja Racing,514,34.347,,,0,514,37.84
72,62,New Mexico Inst of Mining & Tech,NMT Dirty Miners,158,0,459,48.98,0,459,33.79
73,89,Weber State Univ,weber racing,445.25,46.708,450,0,0,450,33.13
