Rank,Car #,School,Team,Time Run 1,Time Run 2,Best Time,Score
1,88,Case Western Reserve Univ,CWRU Motorsports,4.054,3.854,3.854,75
2,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,3.863,3.865,3.863,74.64
3,31,Dr. D.Y. Patil Institute of Technology,TEAM DURGAYANS,4.001,3.908,3.908,72.87
4,1,Rochester Institute of Technology,RIOT RACING,3.989,3.909,3.909,72.83
5,3,Cornell Univ,Cornell Baja,3.92,3.975,3.92,72.39
6,121,Clarkson University,Golden Knights Racing,4.025,3.955,3.955,71.01
7,17,RV College of Engineering,Team Helios Racing,4.241,3.956,3.956,70.97
8,9,Univ of Maryland - Baltimore County,UMBC Racing,4.088,3.966,3.966,70.57
9,5,Ecole de Technologie Superieure,BAJA ETS,4.14,4.006,4.006,68.99
10,111,Arizona State Univ Polytechnic,Sun Devil Racing,4.217,4.025,4.025,68.24
11,163,Escola de Engenharia de Sao Carlos,EESC USP BAJA,4.096,4.039,4.039,67.69
12,6,Univ of Akron,Zips Baja,4.102,4.041,4.041,67.61
13,85,Univ of Central Florida,Knights Racing,4.166,4.049,4.049,67.29
14,16,Pennsylvania College of Technology,PCTBaja,4.069,4.1,4.069,66.5
15,80,Ohio Northern Univ,Polar Bear Racing,4.074,4.281,4.074,66.31
16,22,Pimpri Chinchwad College of Engineering,Team Red Baron,4.084,4.085,4.084,65.91
17,70,Michigan State Univ,MSU Baja,4.159,4.091,4.091,65.63
18,25,McGill Univ,McGill Baja Racing,4.167,4.094,4.094,65.52
19,74,Univ of Waterloo,UW Baja SAE,4.19,4.101,4.101,65.24
20,48,Grove City College,Grove City Racing,4.102,4.167,4.102,65.2
21,87,California Polytechnic State Univ-SLO,Cal Poly Racing,4.308,4.103,4.103,65.16
22,78,San Diego State Univ,Aztec Baja,4.152,4.117,4.117,64.61
23,44,Queen's Univ,Queen's Baja,4.46,4.122,4.122,64.41
24,105,Université Laval,Alérion,4.155,4.13,4.13,64.09
25,27,Univ of Calgary,Schulich Off-Road,4.232,4.155,4.155,63.11
26,24,Lehigh Univ,Lehigh Engineers,4.192,4.173,4.173,62.39
27,76,Johns Hopkins Univ,Blue Jay Racing,4.187,4.197,4.187,61.84
28,14,SUNY - Stony Brook,Stony Brook Motorsports,4.205,4.209,4.205,61.13
29,93,Univ of Nevada - Las Vegas,Rebel Racing,4.424,4.214,4.214,60.77
30,168,Universidade Federal Rural do Semiárido,Cactus Baja SAE,4.24,4.216,4.216,60.7
31,169,Escola Politécnica da USP,Poli-USP Baja,4.27,4.233,4.233,60.02
32,38,Purdue Univ - W Lafayette,Purdue Baja Racing,4.245,4.659,4.245,59.55
33,89,Univ of Maryland - College Park,Terps Racing Baja,4.254,,4.254,59.19
34,53,Univ of Puerto Rico-Mayaquez,Rum Racing Baja,4.271,4.275,4.271,58.52
35,84,McMaster Univ,McMaster Baja Racing,4.325,4.294,4.294,57.61
36,42,Virginia Tech,VT Baja,4.321,4.318,4.318,56.66
37,75,Universidad La Salle,Águilas,4.713,4.318,4.318,56.66
38,79,York College of Pennsylvania,Baja Blast,4.334,4.481,4.334,56.03
39,97,Tennessee Tech Univ,TTU Baja,4.371,4.343,4.343,55.68
40,50,California State Univ - Los Angeles,Rugged Eagle Motorsports,4.359,4.369,4.359,55.04
41,69,Univ of Wisconsin - Platteville,Pioneer Racing,4.682,4.363,4.363,54.89
42,52,New Jersey Institute of Technology,Highlander Racing,4.442,4.369,4.369,54.65
43,58,Georgia Southern Univ,Eagle Motorsports,4.371,4.62,4.371,54.57
44,61,Cleveland State Univ,Vikings Racing,19.61,4.374,4.374,54.45
45,82,Univ of Illinois - Urbana Champaign,Off-Road Illini,4.395,4.489,4.395,53.62
46,64,Univ of Nevada - Reno,Wolf Pack Racing,4.412,4.551,4.412,52.95
47,67,The Ohio State University,Baja Buckeyes,4.422,4.49,4.422,52.56
48,119,Olin College of Engineering,Olin Baja,4.619,4.43,4.43,52.24
49,26,Iowa State Univ,Cyclone Racing,4.442,4.466,4.442,51.77
50,55,Universite Du Quebec at Rimouski,Nordic Wolf,4.453,4.606,4.453,51.33
51,15,Instituto Tecnologico de Toluca,Escuderia Halcon,4.461,4.503,4.461,51.01
52,91,Univ of Missouri - Kansas City,UMKC Baja Racing,4.47,4.717,4.47,50.66
53,34,Youngstown State Univ,YSU Baja,4.474,4.476,4.474,50.5
54,120,Alfred Univ,Saxon Racing,4.724,4.48,4.48,50.26
55,65,Penn State Univ - Altoona,Penn State Altoona,4.606,4.5,4.5,49.47
56,33,Univ of British Columbia,UBC Baja,4.596,4.503,4.503,49.35
57,23,College of New Jersey,TCNJ MotorLions,4.532,4.524,4.524,48.52
58,7,Northeastern Univ,Skunkworks,4.531,4.661,4.531,48.25
59,123,Michigan Tech Univ,Blizzard Baja,4.558,4.556,4.556,47.26
60,77,Wentworth Inst of Tech,Wentworth Institute of Technology,4.597,4.655,4.597,45.64
61,45,Kansas State Univ,Wildcat Offroad,4.685,4.63,4.63,44.34
62,36,Old Dominion Univ,Whiskey Throttle Racing,4.816,4.65,4.65,43.55
63,35,Buffalo State College,Buffalo State Motorsports,4.671,4.752,4.671,42.72
64,68,Ryerson Univ,Ryerson Baja SAE,4.682,,4.682,42.28
65,92,Union College,Union Baja Racing,4.686,4.698,4.686,42.12
66,86,Memorial Univ of Newfoundland,Memorial Baja,4.699,4.903,4.699,41.61
67,81,Univ of Manitoba,University of Manitoba,4.703,4.958,4.703,41.45
68,90,University of Prince Edward Island,Not Bad Racing,6.994,4.705,4.705,41.37
69,83,Univ of San Diego,Torero Racing,4.814,4.721,4.721,40.74
70,8,Univ of Nebraska - Lincoln,Husker Racing,4.76,4.809,4.76,39.2
71,41,Univ of Michigan - Flint,UM-Flint Baja,4.761,,4.761,39.16
72,60,Marquette Univ,Eagle Racing,4.905,4.762,4.762,39.12
73,96,University of Mount Union,Raider Racing,4.846,4.833,4.833,36.31
74,113,Western New England University,Golden Bear Racing,4.967,4.896,4.896,33.83
75,49,Purdue Univ - Northwest,PNW Motorsports,5.015,4.897,4.897,33.79
76,66,North Carolina State Univ - Raleigh,Pack Motorsports,4.92,4.958,4.92,32.88
77,110,Univ of Illinois - Chicago,UIC Motorsports,5.18,4.942,4.942,32.01
78,106,Concordia University,Concordia Baja Racing,5.135,5.189,5.135,24.38
79,72,Univ of Wisconsin - Milwaukee,UW MKE Baja,5.431,5.416,5.416,13.28
80,18,City College of New York,CCNY,5.604,5.621,5.604,5.85
81,47,Stevens Institute of Technology,Dirty Ducks Racing,5.643,5.702,5.643,4.31
82,115,Northern Kentucky Univ,Norse Baja,5.998,5.752,5.752,0
,19,K.J.Somaiya College of Engineering,RedShift Racing India,,,,0
,21,George Mason Univ,Mason Baja,,,,0
,29,New York University,NYU Tandon Motorsports,,,,0
,30,Vellore Institute of Technology,KI Racing,,,,0
,32,Bradley Univ,BU,,,,0
,40,Government College of Engg Aurangabad,Team Aryans,,,,0
,54,British Columbia Inst of Tech,BCIT Racing,,,,0
,62,Univ of Missouri,Mizzou Baja Racing,,,,0
,71,Universidad Simon Bolivar,Team Baja SAE USB,,,,0
,103,Syracuse Univ,Cuse Baja,,,,0
,104,Univ of Tennessee -Chattanooga,UTC Racing Mocs,,,,0
,108,Universidad Nacional Autónoma de México,Puma Off-Road Team,,,,0
,114,SUNY Inst of Tech - Utica,Wildcat Motorsports,,,,0
,117,Millersville Univ of PA,Millersville Baja,,,,0
