Rank,Car #,School,Team,Report Score,Penalty Points,Final Score,Message For Team
1,5,Ecole de Technologie Superieure,BAJA ETS,15,0,100,
2,9,Univ of Maryland - Baltimore County,UMBC Racing,15,0,98.73,
3,91,Univ of Missouri - Kansas City,UMKC Baja Racing,15,0,94.04,
4,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,15,0,91.86,
5,89,Univ of Maryland - College Park,Terps Racing Baja,15,0,91.02,
6,111,Arizona State Univ Polytechnic,Sun Devil Racing,15,0,90.43,
7,105,Université Laval,Alérion,15,0,88.21,
8,75,Universidad La Salle,Águilas,15,0,85.2,
9,15,Instituto Tecnologico de Toluca,Escuderia Halcon,15,0,82.93,
10,1,Rochester Institute of Technology,RIOT RACING,15,0,81.89,
11,78,San Diego State Univ,Aztec Baja,15,0,81.23,
12,61,Cleveland State Univ,Vikings Racing,15,0,81.14,
13,85,Univ of Central Florida,Knights Racing,15,0,80.46,
14,42,Virginia Tech,VT Baja,15,0,79.74,
15,52,New Jersey Institute of Technology,Highlander Racing,15,0,78.28,
16,3,Cornell Univ,Cornell Baja,15,0,78.24,
17,115,Northern Kentucky Univ,Norse Baja,15,0,78.13,
18,6,Univ of Akron,Zips Baja,15,0,77.93,
19,121,Clarkson University,Golden Knights Racing,15,0,77.29,
20,87,California Polytechnic State Univ-SLO,Cal Poly Racing,15,0,76.67,
21,79,York College of Pennsylvania,Baja Blast,15,0,75.88,
22,110,Univ of Illinois - Chicago,UIC Motorsports,15,0,75.19,
23,168,Universidade Federal Rural do Semiárido,Cactus Baja SAE,15,0,72.32,
24,22,Pimpri Chinchwad College of Engineering,Team Red Baron,15,0,71.64,
25,88,Case Western Reserve Univ,CWRU Motorsports,15,0,71.03,
26,8,Univ of Nebraska - Lincoln,Husker Racing,15,0,70.6,
27,38,Purdue Univ - W Lafayette,Purdue Baja Racing,15,0,69.73,
28,70,Michigan State Univ,MSU Baja,15,0,69.23,
29,84,McMaster Univ,McMaster Baja Racing,15,0,68.78,
30,58,Georgia Southern Univ,Eagle Motorsports,15,0,68.68,
31,17,RV College of Engineering,Team Helios Racing,15,0,68.02,
32,60,Marquette Univ,Eagle Racing,15,0,66.26,
33,120,Alfred Univ,Saxon Racing,15,0,66.12,
34,119,Olin College of Engineering,Olin Baja,15,0,66.04,
35,80,Ohio Northern Univ,Polar Bear Racing,15,0,65.34,
36,76,Johns Hopkins Univ,Blue Jay Racing,15,0,65.33,Missed Audit Time (10 Point Deduction
37,7,Northeastern Univ,Skunkworks,15,0,65.28,
