Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
1,1,Rochester Institute of Technology,RIOT RACING,105,8.435,105,8.934,8.435,105,75
2,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,105,8.702,105,8.692,8.692,105,72.78
3,87,California Polytechnic State Univ-SLO,Cal Poly Racing,105,8.726,29.5,3.245,8.726,105,72.5
4,88,Case Western Reserve Univ,CWRU Motorsports,105,9.243,105,8.755,8.755,105,72.26
5,121,Clarkson University,Golden Knights Racing,105,9.058,105,8.89,8.89,105,71.16
6,58,Georgia Southern Univ,Eagle Motorsports,105,9.845,105,8.926,8.926,105,70.87
7,22,Pimpri Chinchwad College of Engineering,Team Red Baron,105,12.026,105,9.038,9.038,105,70
8,31,Dr. D.Y. Patil Institute of Technology,TEAM DURGAYANS,105,9.255,105,9.529,9.255,105,68.35
9,17,RV College of Engineering,Team Helios Racing,105,10.065,105,9.256,9.256,105,68.35
10,70,Michigan State Univ,MSU Baja,105,10.496,105,9.553,9.553,105,66.22
11,25,McGill Univ,McGill Baja Racing,105,9.602,105,10.02,9.602,105,65.88
12,163,Escola de Engenharia de Sao Carlos,EESC USP BAJA,105,9.661,105,10.371,9.661,105,65.48
13,78,San Diego State Univ,Aztec Baja,105,9.819,105,9.823,9.819,105,64.43
14,168,Universidade Federal Rural do Semiárido,Cactus Baja SAE,105,10.657,105,9.948,9.948,105,63.59
15,3,Cornell Univ,Cornell Baja,105,10.015,105,10.46,10.015,105,63.17
16,105,Université Laval,Alérion,105,11.543,105,10.039,10.039,105,63.02
17,85,Univ of Central Florida,Knights Racing,105,10.477,105,10.089,10.089,105,62.7
18,9,Univ of Maryland - Baltimore County,UMBC Racing,105,11.025,105,10.09,10.09,105,62.7
19,93,Univ of Nevada - Las Vegas,Rebel Racing,105,10.229,105,10.108,10.108,105,62.59
20,44,Queen's Univ,Queen's Baja,105,10.953,105,10.118,10.118,105,62.52
21,106,Concordia University,Concordia Baja Racing,105,10.126,40.4,24.161,10.126,105,62.48
22,50,California State Univ - Los Angeles,Rugged Eagle Motorsports,105,11.119,105,10.199,10.199,105,62.03
23,80,Ohio Northern Univ,Polar Bear Racing,105,10.211,30.7,22.44,10.211,105,61.96
24,74,Univ of Waterloo,UW Baja SAE,105,10.259,30.9,8.879,10.259,105,61.67
25,69,Univ of Wisconsin - Platteville,Pioneer Racing,105,10.266,105,10.731,10.266,105,61.62
26,36,Old Dominion Univ,Whiskey Throttle Racing,105,11.654,105,10.293,10.293,105,61.46
27,27,Univ of Calgary,Schulich Off-Road,105,11.517,105,10.363,10.363,105,61.05
28,60,Marquette Univ,Eagle Racing,105,12.399,105,10.37,10.37,105,61.01
29,97,Tennessee Tech Univ,TTU Baja,105,10.465,105,10.849,10.465,105,60.45
30,111,Arizona State Univ Polytechnic,Sun Devil Racing,105,10.52,29.8,8.741,10.52,105,60.14
31,5,Ecole de Technologie Superieure,BAJA ETS,105,10.763,82,40.617,10.763,105,58.78
32,24,Lehigh Univ,Lehigh Engineers,105,13.028,105,10.856,10.856,105,58.27
33,53,Univ of Puerto Rico-Mayaquez,Rum Racing Baja,105,10.871,105,10.876,10.871,105,58.19
34,65,Penn State Univ - Altoona,Penn State Altoona,105,11.332,105,11.069,11.069,105,57.15
35,8,Univ of Nebraska - Lincoln,Husker Racing,105,11.133,105,11.693,11.133,105,56.82
36,61,Cleveland State Univ,Vikings Racing,105,11.657,105,11.151,11.151,105,56.73
37,7,Northeastern Univ,Skunkworks,52.5,25.27,105,11.185,11.185,105,56.56
38,48,Grove City College,Grove City Racing,31,3.032,105,11.208,11.208,105,56.44
39,79,York College of Pennsylvania,Baja Blast,105,11.243,105,13.07,11.243,105,56.27
40,34,Youngstown State Univ,YSU Baja,105,11.827,105,11.407,11.407,105,55.46
41,64,Univ of Nevada - Reno,Wolf Pack Racing,105,12.218,105,11.411,11.411,105,55.44
42,33,Univ of British Columbia,UBC Baja,105,14.559,105,11.528,11.528,105,54.88
43,6,Univ of Akron,Zips Baja,105,11.528,42.9,2.548,11.528,105,54.88
44,16,Pennsylvania College of Technology,PCTBaja,25.3,2.837,105,11.59,11.59,105,54.58
45,86,Memorial Univ of Newfoundland,Memorial Baja,105,12.792,105,11.833,11.833,105,53.46
46,90,University of Prince Edward Island,Not Bad Racing,105,14.463,105,11.965,11.965,105,52.87
47,84,McMaster Univ,McMaster Baja Racing,105,12.857,105,12.248,12.248,105,51.65
48,26,Iowa State Univ,Cyclone Racing,105,12.898,105,12.267,12.267,105,51.57
49,120,Alfred Univ,Saxon Racing,26.3,17.424,105,12.353,12.353,105,51.21
50,14,SUNY - Stony Brook,Stony Brook Motorsports,105,13.566,105,12.38,12.38,105,51.1
51,83,Univ of San Diego,Torero Racing,105,12.395,105,12.651,12.395,105,51.04
52,119,Olin College of Engineering,Olin Baja,105,14.642,105,12.957,12.957,105,48.82
53,75,Universidad La Salle,Águilas,22.8,19.911,105,13.026,13.026,105,48.57
54,55,Universite Du Quebec at Rimouski,Nordic Wolf,105,15.171,105,13.209,13.209,105,47.89
55,77,Wentworth Inst of Tech,Wentworth Institute of Technology,105,14.362,105,13.279,13.279,105,47.64
56,123,Michigan Tech Univ,Blizzard Baja,105,13.285,105,16.387,13.285,105,47.62
57,76,Johns Hopkins Univ,Blue Jay Racing,105,13.389,24.3,9.463,13.389,105,47.25
58,169,Escola Politécnica da USP,Poli-USP Baja,105,13.44,27.3,13.193,13.44,105,47.07
59,52,New Jersey Institute of Technology,Highlander Racing,105,13.709,105,13.449,13.449,105,47.04
60,68,Ryerson Univ,Ryerson Baja SAE,104,14.005,105,13.544,13.544,105,46.71
61,113,Western New England University,Golden Bear Racing,105,14.323,105,13.767,13.767,105,45.95
62,72,Univ of Wisconsin - Milwaukee,UW MKE Baja,105,17.598,105,13.89,13.89,105,45.55
63,92,Union College,Union Baja Racing,105,14.056,105,14.397,14.056,105,45.01
64,45,Kansas State Univ,Wildcat Offroad,105,15.744,105,14.198,14.198,105,44.56
65,15,Instituto Tecnologico de Toluca,Escuderia Halcon,25.8,9.096,105,14.204,14.204,105,44.54
66,91,Univ of Missouri - Kansas City,UMKC Baja Racing,105,16.934,105,14.296,14.296,105,44.25
67,81,Univ of Manitoba,University of Manitoba,105,16.931,105,14.347,14.347,105,44.09
68,115,Northern Kentucky Univ,Norse Baja,90.6,22.674,105,14.652,14.652,105,43.18
69,89,Univ of Maryland - College Park,Terps Racing Baja,84.2,25.104,105,14.81,14.81,105,42.72
70,23,College of New Jersey,TCNJ MotorLions,105,14.924,33,8.501,14.924,105,42.39
71,67,The Ohio State University,Baja Buckeyes,105,16.968,105,16.087,16.087,105,39.33
72,47,Stevens Institute of Technology,Dirty Ducks Racing,105,16.508,105,16.124,16.124,105,39.23
73,49,Purdue Univ - Northwest,PNW Motorsports,105,16.624,105,16.775,16.624,105,38.05
74,35,Buffalo State College,Buffalo State Motorsports,97.3,4.559,36,47.525,0,97.3,35.26
75,38,Purdue Univ - W Lafayette,Purdue Baja Racing,90.6,23.95,94.1,3.109,0,94.1,34.1
76,66,North Carolina State Univ - Raleigh,Pack Motorsports,82.4,1.879,91.8,9.722,0,91.8,33.27
77,42,Virginia Tech,VT Baja,89.8,5.705,26.3,25.154,0,89.8,32.55
78,110,Univ of Illinois - Chicago,UIC Motorsports,30.3,13.904,89.5,13.692,0,89.5,32.44
79,96,University of Mount Union,Raider Racing,86.4,23.884,85.3,30.968,0,86.4,31.31
80,18,City College of New York,CCNY,38.1,9.557,84.8,3.711,0,84.8,30.73
81,82,Univ of Illinois - Urbana Champaign,Off-Road Illini,24.3,1.769,23.7,14.433,0,24.3,8.81
,19,K.J.Somaiya College of Engineering,RedShift Racing India,,,,,,,0
,21,George Mason Univ,Mason Baja,,,,,,,0
,29,New York University,NYU Tandon Motorsports,,,,,,,0
,30,Vellore Institute of Technology,KI Racing,,,,,,,0
,32,Bradley Univ,BU,,,,,,,0
,40,Government College of Engg Aurangabad,Team Aryans,,,,,,,0
,41,Univ of Michigan - Flint,UM-Flint Baja,,,,,,,0
,54,British Columbia Inst of Tech,BCIT Racing,,,,,,,0
,62,Univ of Missouri,Mizzou Baja Racing,,,,,,,0
,71,Universidad Simon Bolivar,Team Baja SAE USB,,,,,,,0
,103,Syracuse Univ,Cuse Baja,,,,,,,0
,104,Univ of Tennessee -Chattanooga,UTC Racing Mocs,,,,,,,0
,108,Universidad Nacional Autónoma de México,Puma Off-Road Team,,,,,,,0
