Rank,Car #,School,Team,Time Run 1,# Minor Penalty Run 1,# Major Penalty Run 1,Total Time Run 1,Time Run 2,# Minor Penalty Run 2,# Major Penalty Run 2,Total Time Run 2,Best Time,Score
1,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,48.204,0,0,48.204,47.159,0,0,47.159,47.159,75
2,163,Escola de Engenharia de Sao Carlos,EESC USP BAJA,47.687,1,0,49.687,47.774,0,0,47.774,47.774,73.99
3,87,California Polytechnic State Univ-SLO,Cal Poly Racing,48.803,2,0,52.803,47.947,0,0,47.947,47.947,73.71
4,105,Université Laval,Alérion,50.784,1,0,52.784,48.576,0,0,48.576,48.576,72.67
5,5,Ecole de Technologie Superieure,BAJA ETS,50.049,0,0,50.049,49.059,0,0,49.059,49.059,71.88
6,168,Universidade Federal Rural do Semiárido,Cactus Baja SAE,51.22,0,0,51.22,49.379,0,0,49.379,49.379,71.36
7,58,Georgia Southern Univ,Eagle Motorsports,51.469,0,0,--DNF--,49.582,0,0,49.582,49.582,71.02
8,93,Univ of Nevada - Las Vegas,Rebel Racing,51.362,0,0,51.362,50.003,0,0,50.003,50.003,70.33
9,169,Escola Politécnica da USP,Poli-USP Baja,51.526,0,0,51.526,50.028,0,0,50.028,50.028,70.29
10,1,Rochester Institute of Technology,RIOT RACING,52.752,2,0,56.752,48.379,1,0,50.379,50.379,69.71
11,3,Cornell Univ,Cornell Baja,52.927,1,0,54.927,51.279,0,0,51.279,51.279,68.24
12,121,Clarkson University,Golden Knights Racing,47.871,2,0,51.871,47.755,2,0,51.755,51.755,67.46
13,82,Univ of Illinois - Urbana Champaign,Off-Road Illini,53.033,2,0,57.033,51.773,0,0,51.773,51.773,67.43
14,34,Youngstown State Univ,YSU Baja,52.406,0,0,52.406,51.875,0,0,51.875,51.875,67.26
15,44,Queen's Univ,Queen's Baja,50.106,1,0,52.106,51.61,1,0,53.61,52.106,66.88
16,50,California State Univ - Los Angeles,Rugged Eagle Motorsports,51.91,0,0,--DNF--,52.737,0,0,52.737,52.737,65.84
17,6,Univ of Akron,Zips Baja,51.681,1,0,53.681,51.871,2,0,55.871,53.681,64.3
18,9,Univ of Maryland - Baltimore County,UMBC Racing,13.53,0,0,--DNF--,49.877,2,0,53.877,53.877,63.97
19,36,Old Dominion Univ,Whiskey Throttle Racing,55.579,0,0,55.579,52.084,1,0,54.084,54.084,63.63
20,7,Northeastern Univ,Skunkworks,53.932,3,0,59.932,52.364,1,0,54.364,54.364,63.17
21,97,Tennessee Tech Univ,TTU Baja,58.946,1,0,60.946,54.429,0,0,54.429,54.429,63.07
22,16,Pennsylvania College of Technology,PCTBaja,52.567,1,0,54.567,52.549,0,0,--DNF--,54.567,62.84
23,25,McGill Univ,McGill Baja Racing,52.733,1,0,54.733,51.968,2,0,55.968,54.733,62.57
