Rank,Car #,School,Team,Eval. Score,Final Score,Message For Team
1,1,Rochester Institute of Technology,RIOT RACING,55,55,
2,78,San Diego State Univ,Aztec Baja,53,53,
3,31,Dr. D.Y. Patil Institute of Technology,TEAM DURGAYANS,51,51,
4,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,48,48,
4,36,Old Dominion Univ,Whiskey Throttle Racing,48,48,
6,6,Univ of Akron,Zips Baja,47,47,
6,66,North Carolina State Univ - Raleigh,Pack Motorsports,47,47,
8,34,Youngstown State Univ,YSU Baja,46,46,
8,44,Queen's Univ,Queen's Baja,46,46,
8,106,Concordia University,Concordia Baja Racing,46,46,
11,5,Ecole de Technologie Superieure,BAJA ETS,45,45,
11,169,Escola Politécnica da USP,Poli-USP Baja,45,45,
13,76,Johns Hopkins Univ,Blue Jay Racing,44,44,
13,88,Case Western Reserve Univ,CWRU Motorsports,44,44,
15,82,Univ of Illinois - Urbana Champaign,Off-Road Illini,43,43,
15,85,Univ of Central Florida,Knights Racing,43,43,
15,93,Univ of Nevada - Las Vegas,Rebel Racing,43,43,
18,9,Univ of Maryland - Baltimore County,UMBC Racing,42,42,
18,91,Univ of Missouri - Kansas City,UMKC Baja Racing,42,42,
20,52,New Jersey Institute of Technology,Highlander Racing,41,41,
20,89,Univ of Maryland - College Park,Terps Racing Baja,41,41,
22,25,McGill Univ,McGill Baja Racing,40,40,
22,90,University of Prince Edward Island,Not Bad Racing,40,40,
24,38,Purdue Univ - W Lafayette,Purdue Baja Racing,39,39,
24,54,British Columbia Inst of Tech,BCIT Racing,39,39,
24,55,Universite Du Quebec at Rimouski,Nordic Wolf,39,39,
27,22,Pimpri Chinchwad College of Engineering,Team Red Baron,38,38,
27,119,Olin College of Engineering,Olin Baja,38,38,
29,8,Univ of Nebraska - Lincoln,Husker Racing,37,37,
29,33,Univ of British Columbia,UBC Baja,37,37,
31,50,California State Univ - Los Angeles,Rugged Eagle Motorsports,36,36,
31,163,Escola de Engenharia de Sao Carlos,EESC USP BAJA,36,36,
33,7,Northeastern Univ,Skunkworks,35,35,
33,80,Ohio Northern Univ,Polar Bear Racing,35,35,
33,87,California Polytechnic State Univ-SLO,Cal Poly Racing,35,35,
36,53,Univ of Puerto Rico-Mayaquez,Rum Racing Baja,34,34,
36,105,Université Laval,Alérion,34,34,
