Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
1,1,Rochester Institute of Technology,RIOT RACING,580,32.745,,,32.745,580,75
2,3,Cornell Univ,Cornell Baja,561,40.924,580,34.666,34.666,580,70.84
3,78,San Diego State Univ,Aztec Baja,580,43.904,580,34.973,34.973,580,70.22
4,105,Université Laval,Alérion,302,7.957,580,40.012,40.012,580,61.38
5,6,Univ of Akron,Zips Baja,580,41.807,568,43.903,41.807,580,58.74
6,14,SUNY - Stony Brook,Stony Brook Motorsports,580,42.829,,,42.829,580,57.34
7,8,Univ of Nebraska - Lincoln,Husker Racing,488,37.554,580,43.318,43.318,580,56.69
8,34,Youngstown State Univ,YSU Baja,495,45.867,580,44.447,44.447,580,55.25
9,16,Pennsylvania College of Technology,PCTBaja,517,78.061,580,44.909,44.909,580,54.69
10,75,Universidad La Salle,Águilas,215,17.564,580,45.011,45.011,580,54.56
11,97,Tennessee Tech Univ,TTU Baja,558,59.379,580,50.092,50.092,580,49.03
12,36,Old Dominion Univ,Whiskey Throttle Racing,477,55.567,580,52.549,52.549,580,46.73
13,82,Univ of Illinois - Urbana Champaign,Off-Road Illini,215,24.772,580,53.637,53.637,580,45.79
14,9,Univ of Maryland - Baltimore County,UMBC Racing,228,19.934,573,44.499,0,573,45.23
15,113,Western New England University,Golden Bear Racing,540,46.652,573,53.416,0,573,45.23
16,121,Clarkson University,Golden Knights Racing,572,39.228,,,0,572,45.16
17,45,Kansas State Univ,Wildcat Offroad,236,19.182,568,51.086,0,568,44.84
18,87,California Polytechnic State Univ-SLO,Cal Poly Racing,566,43.822,540,35.545,0,566,44.68
19,55,Universite Du Quebec at Rimouski,Nordic Wolf,564,49.821,,,0,564,44.52
20,168,Universidade Federal Rural do Semiárido,Cactus Baja SAE,473,58.215,562,52.962,0,562,44.37
21,169,Escola Politécnica da USP,Poli-USP Baja,487,0,562,50.825,0,562,44.37
22,91,Univ of Missouri - Kansas City,UMKC Baja Racing,561,55.959,561,44.697,0,561,44.29
23,79,York College of Pennsylvania,Baja Blast,321,42.578,560,47.392,0,560,44.21
24,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,560,38.793,557,42.968,0,560,44.21
25,33,Univ of British Columbia,UBC Baja,560,41.907,305,25.434,0,560,44.21
26,58,Georgia Southern Univ,Eagle Motorsports,477,0,558,64.298,0,558,44.05
27,76,Johns Hopkins Univ,Blue Jay Racing,421,40.801,558,51.15,0,558,44.05
28,7,Northeastern Univ,Skunkworks,557,48.701,475,36.049,0,557,43.97
29,44,Queen's Univ,Queen's Baja,486,44.581,540,47.647,0,540,42.63
30,15,Instituto Tecnologico de Toluca,Escuderia Halcon,540,52.045,,,0,540,42.63
31,27,Univ of Calgary,Schulich Off-Road,314,70.496,502,45.727,0,502,39.63
32,69,Univ of Wisconsin - Platteville,Pioneer Racing,300,40.693,502,47.44,0,502,39.63
33,123,Michigan Tech Univ,Blizzard Baja,302,34.171,502,39.951,0,502,39.63
34,5,Ecole de Technologie Superieure,BAJA ETS,502,36.226,392,47.334,0,502,39.63
35,88,Case Western Reserve Univ,CWRU Motorsports,502,40.101,314,31.051,0,502,39.63
36,26,Iowa State Univ,Cyclone Racing,502,40.687,237,23.434,0,502,39.63
37,111,Arizona State Univ Polytechnic,Sun Devil Racing,502,41.599,79,31.385,0,502,39.63
38,64,Univ of Nevada - Reno,Wolf Pack Racing,502,42.6,,,0,502,39.63
39,67,The Ohio State University,Baja Buckeyes,502,46.826,,,0,502,39.63
40,163,Escola de Engenharia de Sao Carlos,EESC USP BAJA,502,45.351,,,0,502,39.63
41,17,RV College of Engineering,Team Helios Racing,308,24.555,490,35.056,0,490,38.68
42,48,Grove City College,Grove City Racing,489,47.075,478,50.996,0,489,38.6
43,25,McGill Univ,McGill Baja Racing,476,68.936,484,37.989,0,484,38.21
44,119,Olin College of Engineering,Olin Baja,407,62.63,483,59.619,0,483,38.13
45,65,Penn State Univ - Altoona,Penn State Altoona,483,52.019,234,17.777,0,483,38.13
46,22,Pimpri Chinchwad College of Engineering,Team Red Baron,482,39.505,,,0,482,38.05
