Rank,Car #,School,Team,Report Score,Penalty Points,Final Score,Message For Team
1,53,Univ of Maryland - Baltimore County,UMBC Racing,15,0,100,
2,4,Ecole de Technologie Superieure,BAJA ETS,15,0,98.09,
3,42,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,15,0,96.11,
4,7,Univ of Michigan - Ann Arbor,Michigan Baja Racing,15,0,93.13,
5,86,Univ of Missouri - Kansas City,UMKC Baja Racing,15,0,90.46,
6,89,California State Univ- Chico,Wildcat racing,15,0,86.89,
7,3,Rochester Institute of Technology,RIOT RACING,15,0,85.79,
8,11,Cleveland State Univ,Vikings Racing,15,0,85.54,
9,123,Georgia Institute of Technology,GT Off-Road,15,0,85.25,
10,9,Univ of Central Florida,Knights Racing,15,0,84.99,
11,76,Government College of Engrg Pune,Team Nemesis Racing,15,0,84.98,
12,87,Virginia Tech,VT Baja,15,0,84.37,
13,5,San Diego State Univ,Aztec Baja,15,0,83.54,
14,32,Cummins College Of Engineering,TZ5,15,0,83.23,
15,41,New Jersey Institute of Technology,Highlander Racing,15,0,83.16,
16,1,Cornell Univ,Cornell Baja,15,0,83.16,
17,2,Univ of Akron,Zips Baja,15,0,82.78,
18,19,Rowan Univ,Rowan Motorsports,15,0,82.26,
19,122,St Clair County Community College,SC4 Baja,15,0,82.16,
20,108,Case Western Reserve Univ,CWRU Motorsports,15,0,80.47,
21,106,Central Michigan Univ,Chippewa Performance,15,0,80.14,
22,16,Universidad Panamericana,Panteras Racing,15,0,78.81,
23,99,Johns Hopkins Univ,Blue Jay Racing,15,0,78.15,
24,49,Oregon State Univ,Beaver Racing,15,0,77.88,
25,8,Univ of Nebraska - Lincoln,Husker Racing,15,0,76.76,
26,80,Universidad Autonoma Estado Mexico,Sara juana RT,15,0,76.15,
27,35,Universidad De La Salle Bajio,felinos 1,15,0,75.94,
28,126,George Washington Univ,GW Baja,15,0,75.46,
29,44,Michigan State Univ,MSU Baja,15,0,75.32,
30,91,Northern Illinois Univ,Niu Baja,15,0,75.15,
31,13,Pennsylvania College of Technology,PCTBaja,15,0,74.67,
32,51,Univ of West Florida,UWF Argos,15,0,73.32,
33,33,Olin College of Engineering,Olin Baja,15,0,72.97,
34,6,Clarkson University,Golden Knights Racing,15,0,71.77,
35,119,Univ of Rochester,Yellowjacket Racing,15,0,70.36,
36,36,Wright State Univ,Raider Racers,15,0,69.65,
37,29,Univ of Nevada - Las Vegas,Rebel Racing,15,0,69.45,Correction
38,102,Univ of Wisconsin - Milwaukee,UW MKE Baja,15,0,68.89,
39,118,Queen's Univ,Queen's Baja,15,0,68.76,
40,30,Lipscomb Univ,Lipscomb Motor Sports,15,0,65.19,
41,95,Univ of Arkansas - Fayetteville,Full Boar Racing,15,0,64.79,
42,67,Tennessee Tech Univ,TTU Baja,15,0,64.29,
43,71,Iowa State Univ,Cyclone Racing,15,0,63.21,
44,22,Western New England University,Golden Bear Racing,15,0,63.09,
45,52,Maharashtra Institute of Technology,Team Piranha racing,15,0,62.58,
46,75,Univ of Calif - Los Angeles,Bruin Racing,15,0,61.93,
47,31,Millersville Univ of PA,Millersville Baja,15,0,61.33,
48,109,Univ of Illinois - Urbana Champaign,Off-Road Illini,15,10,60.54,Report submitted one day late
49,27,Pittsburg State University,Gorilla Racing,15,0,60.53,
50,24,Northwestern Univ,Northwestern Motorcats,15,0,59.36,
51,62,Southern Illinois Univ - Edwardville,Cougar Baja,15,0,58.42,
52,40,Univ of Tennessee -Chattanooga,UTC Racing Mocs,15,0,58.31,
53,94,Maharaja Agrasen Institute Of Tech,Team Jatayu,15,0,57.66,
54,96,Univ of Evansville,UE BAJA,15,0,57.55,
55,81,North Carolina State Univ - Raleigh,Pack Motorsports,15,0,57.49,
56,92,Louisiana State Univ,Baja Bengals,15,0,57.43,
57,38,Bucknell Univ,Bucknell Baja,15,0,56.86,
58,116,Univ of Notre Dame,Irish Racing,15,0,55.91,
59,54,Youngstown State Univ,YSU Baja,15,0,55.69,
60,69,Olivet Nazarene Univ,ONU Racing19,15,0,51.29,
61,39,Oklahoma Christian Univ,Eagle Heavy 1,15,0,49.79,
62,100,Univ of Pittsburgh - Johnstown,Steel Panther Racing,15,0,49.56,
63,47,Mississippi State Univ,MSState Mud Dawgs,15,0,48.76,
64,46,Harding Univ,Bison Baja,15,10,46.36,Report submitted one day late
65,73,Kansas State Univ,Wildcat Offroad,15,0,46.25,
66,101,Univ of Kansas - Lawrence,JMSBaja,15,0,45.27,
67,20,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles BAJA,15,20,44.18,Report submitted two days late
68,50,Lawrence Technological Univ,Blue Devil Motorsports,15,0,42.93,
69,107,Miami Univ,Redhawk Racing,15,0,42.22,
70,17,Purdue Univ - Northwest,PNW Motorsports,15,0,38.05,
71,58,Univ of Virginia,Virginia Motorsports,15,0,34.44,
72,56,North Carolina A & T State Univ,Aggie Racing,15,30,31.71,Report submitted three days late
73,115,Univ of Alabama - Birmingham,Blazer Motorsports,15,20,23.63,Report submitted two days late
74,60,Michigan Tech Univ,Blizzard Baja,15,0,22.89,
75,97,Kansas State Univ - Salina,Baja SAE Salina,15,0,21.89,
76,65,Univ of Wisconsin - Stout,Blue Devil Racing,15,0,17.71,
77,14,Univ of Texas - Rio Grande,RGV Baja Racing,15,0,15,Passed Tech Late
77,18,Lamar Univ,BB2,15,0,15,
77,25,Middle Tennessee State Univ,MTSU motorsports,15,0,15,Missed Cost Audit
77,64,Univ of Tennessee - Martin,SKYHAWK Racing,15,0,15,Passed Tech Late
77,66,Ohio Northern Univ,Polar Bear Racing,15,0,15,Passed Tech Late
77,114,Univ of Missouri,Mizzou Baja Racing,15,0,15,Passed Tech Late
83,120,University of Mount Union,Raider Racing,15,50,3.6,Report submitted five days late
84,121,Ferris State University,Ferris State Baja Racing,15,50,0.66,Report submitted five days late
85,26,East Carolina Univ,East Carolina,0,0,0,Cost report was incomplete when submitted
85,77,Missouri State University,MSU Baja,0,0,0,Cost report was incomplete when submitted
