Rank,Car #,School,Team,Report Score,Eval. Score,Bonus Points,Penalty Points,Final Score,Message For Team
1,7,Univ of Michigan - Ann Arbor,Michigan Baja Racing,0,140,15,0,155,Design Finals
2,4,Ecole de Technologie Superieure,BAJA ETS,0,140,13,0,153,Design Finals
3,3,Rochester Institute of Technology,RIOT RACING,0,140,10,0,150,Design Finals
4,1,Cornell Univ,Cornell Baja,0,140,5,0,145,Design Finals
4,76,Government College of Engrg Pune,Team Nemesis Racing,0,140,5,0,145,Design Finals
6,8,Univ of Nebraska - Lincoln,Husker Racing,0,140,0,0,140,Design Finals
7,9,Univ of Central Florida,Knights Racing,0,130,0,0,130,
7,49,Oregon State Univ,Beaver Racing,0,130,0,0,130,
7,53,Univ of Maryland - Baltimore County,UMBC Racing,0,130,0,0,130,
10,52,Maharashtra Institute of Technology,Team Piranha racing,0,120,0,0,120,
10,94,Maharaja Agrasen Institute Of Tech,Team Jatayu,0,120,0,0,120,
10,99,Johns Hopkins Univ,Blue Jay Racing,0,120,0,0,120,
10,108,Case Western Reserve Univ,CWRU Motorsports,0,120,0,0,120,
14,2,Univ of Akron,Zips Baja,0,110,0,0,110,
14,5,San Diego State Univ,Aztec Baja,0,120,0,10,110,Report late
14,29,Univ of Nevada - Las Vegas,Rebel Racing,0,110,0,0,110,
14,44,Michigan State Univ,MSU Baja,0,110,0,0,110,
14,81,North Carolina State Univ - Raleigh,Pack Motorsports,0,110,0,0,110,
19,6,Clarkson University,Golden Knights Racing,0,100,0,0,100,
19,42,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,0,100,0,0,100,
19,54,Youngstown State Univ,YSU Baja,0,100,0,0,100,
19,89,California State Univ- Chico,Wildcat racing,0,100,0,0,100,
19,118,Queen's Univ,Queen's Baja,0,100,0,0,100,
19,119,Univ of Rochester,Yellowjacket Racing,0,100,0,0,100,
19,123,Georgia Institute of Technology,GT Off-Road,0,100,0,0,100,
26,22,Western New England University,Golden Bear Racing,0,90,0,0,90,
26,24,Northwestern Univ,Northwestern Motorcats,0,100,0,10,90,Report late
26,32,Cummins College Of Engineering,TZ5,0,90,0,0,90,
26,46,Harding Univ,Bison Baja,0,90,0,0,90,
26,86,Univ of Missouri - Kansas City,UMKC Baja Racing,0,90,0,0,90,
26,96,Univ of Evansville,UE BAJA,0,100,0,10,90,Report late
26,106,Central Michigan Univ,Chippewa Performance,0,100,0,10,90,Report late
26,109,Univ of Illinois - Urbana Champaign,Off-Road Illini,0,110,0,20,90,Report late
34,13,Pennsylvania College of Technology,PCTBaja,0,80,0,0,80,
34,41,New Jersey Institute of Technology,Highlander Racing,0,80,0,0,80,
34,58,Univ of Virginia,Virginia Motorsports,0,80,0,0,80,
34,126,George Washington Univ,GW Baja,0,80,0,0,80,
38,35,Universidad De La Salle Bajio,felinos 1,0,70,0,0,70,
38,56,North Carolina A & T State Univ,Aggie Racing,0,70,0,0,70,
38,71,Iowa State Univ,Cyclone Racing,0,70,0,0,70,
38,75,Univ of Calif - Los Angeles,Bruin Racing,0,70,0,0,70,
38,87,Virginia Tech,VT Baja,0,70,0,0,70,
38,92,Louisiana State Univ,Baja Bengals,0,70,0,0,70,
38,120,University of Mount Union,Raider Racing,0,70,0,0,70,
45,17,Purdue Univ - Northwest,PNW Motorsports,0,60,0,0,60,
45,33,Olin College of Engineering,Olin Baja,0,60,0,0,60,
45,60,Michigan Tech Univ,Blizzard Baja,0,60,0,0,60,
45,69,Olivet Nazarene Univ,ONU Racing19,0,60,0,0,60,
45,107,Miami Univ,Redhawk Racing,0,60,0,0,60,
50,25,Middle Tennessee State Univ,MTSU motorsports,0,50,0,0,50,
50,27,Pittsburg State University,Gorilla Racing,0,50,0,0,50,
50,30,Lipscomb Univ,Lipscomb Motor Sports,0,50,0,0,50,
50,38,Bucknell Univ,Bucknell Baja,0,50,0,0,50,
50,50,Lawrence Technological Univ,Blue Devil Motorsports,0,50,0,0,50,
50,61,New York University,NYU Tandon Motorsports,0,50,0,0,50,
50,62,Southern Illinois Univ - Edwardville,Cougar Baja,0,50,0,0,50,
