Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
1,17,Purdue Univ - Northwest,PNW Motorsports,58.8,11.844,59.9,10.123,0,59.9,75
2,67,Tennessee Tech Univ,TTU Baja,56,10.308,58.4,6.01,0,58.4,72.94
3,36,Wright State Univ,Raider Racers,53,12.551,56.9,16.656,0,56.9,70.88
4,18,Lamar Univ,BB2,55.9,13.127,52,12.908,0,55.9,69.51
5,96,Univ of Evansville,UE BAJA,55.5,14.523,,,0,55.5,68.96
6,30,Lipscomb Univ,Lipscomb Motor Sports,50.3,11.52,55.3,12.457,0,55.3,68.68
7,33,Olin College of Engineering,Olin Baja,45.4,18.287,54.9,12.346,0,54.9,68.13
8,121,Ferris State University,Ferris State Baja Racing,53.5,12.726,51.4,13.195,0,53.5,66.21
9,123,Georgia Institute of Technology,GT Off-Road,51.9,4.644,48.5,41.816,0,51.9,64.01
10,49,Oregon State Univ,Beaver Racing,51.1,13.965,,,0,51.1,62.91
11,54,Youngstown State Univ,YSU Baja,50.3,12.52,,,0,50.3,61.81
12,80,Universidad Autonoma Estado Mexico,Sara juana RT,49.3,16.322,48,12.61,0,49.3,60.44
13,52,Maharashtra Institute of Technology,Team Piranha racing,49.1,18.818,46,15.552,0,49.1,60.16
14,16,Universidad Panamericana,Panteras Racing,48.5,12.601,,,0,48.5,59.34
15,122,St Clair County Community College,SC4 Baja,48.3,14.74,48.4,28.02,0,48.4,59.2
16,91,Northern Illinois Univ,Niu Baja,44.9,12.142,48.3,14.655,0,48.3,59.07
17,107,Miami Univ,Redhawk Racing,46.3,12.025,48,4.024,0,48,58.65
18,7,Univ of Michigan - Ann Arbor,Michigan Baja Racing,43.5,56.165,47.8,13.246,0,47.8,58.38
19,100,Univ of Pittsburgh - Johnstown,Steel Panther Racing,33.3,50.426,47.3,14.673,0,47.3,57.69
20,27,Pittsburg State University,Gorilla Racing,44.8,11.68,46.9,12.149,0,46.9,57.14
21,89,California State Univ- Chico,Wildcat racing,46.9,13.642,46.9,13.531,0,46.9,57.14
22,1,Cornell Univ,Cornell Baja,40.9,12.542,46.5,17.039,0,46.5,56.59
23,6,Clarkson University,Golden Knights Racing,46,12.222,41.6,13.487,0,46,55.91
24,35,Universidad De La Salle Bajio,felinos 1,44.6,13.373,40.1,1.269,0,44.6,53.98
25,106,Central Michigan Univ,Chippewa Performance,42.4,11.868,44.1,11.395,0,44.1,53.3
26,8,Univ of Nebraska - Lincoln,Husker Racing,40.9,12.025,43.6,14.987,0,43.6,52.61
27,2,Univ of Akron,Zips Baja,43.5,14.151,38.3,11.358,0,43.5,52.47
28,5,San Diego State Univ,Aztec Baja,37.9,11.523,43.1,13.107,0,43.1,51.92
29,126,George Washington Univ,GW Baja,42,9.448,41.9,12.085,0,42,50.41
30,3,Rochester Institute of Technology,RIOT RACING,41,9.729,39.8,15.551,0,41,49.04
31,60,Michigan Tech Univ,Blizzard Baja,40.8,10.752,,,0,40.8,48.76
32,41,New Jersey Institute of Technology,Highlander Racing,40,73.896,38.4,11.527,0,40,47.66
33,9,Univ of Central Florida,Knights Racing,39.8,11.725,34.5,10.858,0,39.8,47.39
34,22,Western New England University,Golden Bear Racing,39.3,12.629,36.5,12.959,0,39.3,46.7
35,108,Case Western Reserve Univ,CWRU Motorsports,38.5,11.929,37,11.43,0,38.5,45.6
36,53,Univ of Maryland - Baltimore County,UMBC Racing,33.8,4.54,37.4,11.412,0,37.4,44.09
37,73,Kansas State Univ,Wildcat Offroad,32.8,11.681,37.4,11.894,0,37.4,44.09
38,19,Rowan Univ,Rowan Motorsports,35.5,10.4,35.3,12.398,0,35.5,41.48
39,65,Univ of Wisconsin - Stout,Blue Devil Racing,35.4,11.468,34.3,11.231,0,35.4,41.35
40,56,North Carolina A & T State Univ,Aggie Racing,34.8,19.825,33.9,38.703,0,34.8,40.52
41,94,Maharaja Agrasen Institute Of Tech,Team Jatayu,33.8,11.821,,,0,33.8,39.15
42,47,Mississippi State Univ,MSState Mud Dawgs,32.5,24.791,,,0,32.5,37.36
43,46,Harding Univ,Bison Baja,32.3,11.302,28.3,14.787,0,32.3,37.09
44,14,Univ of Texas - Rio Grande,RGV Baja Racing,31.6,16.419,,,0,31.6,36.13
45,50,Lawrence Technological Univ,Blue Devil Motorsports,31,13.092,25.6,10.61,0,31,35.3
46,24,Northwestern Univ,Northwestern Motorcats,30.5,7.814,18.3,9.343,0,30.5,34.62
47,97,Kansas State Univ - Salina,Baja SAE Salina,24.1,10.525,30.3,6.818,0,30.3,34.34
48,11,Cleveland State Univ,Vikings Racing,27.4,21.461,29.9,11.638,0,29.9,33.79
49,13,Pennsylvania College of Technology,PCTBaja,28,12.218,29.9,13.515,0,29.9,33.79
50,62,Southern Illinois Univ - Edwardville,Cougar Baja,29.8,12.712,23,18.392,0,29.8,33.65
51,99,Johns Hopkins Univ,Blue Jay Racing,28.5,19.11,28.3,12.888,0,28.5,31.87
52,120,University of Mount Union,Raider Racing,27.9,10.391,27.3,11.59,0,27.9,31.04
53,4,Ecole de Technologie Superieure,BAJA ETS,27.9,9.731,26.9,12.492,0,27.9,31.04
54,102,Univ of Wisconsin - Milwaukee,UW MKE Baja,27.6,11.852,23.4,10.015,0,27.6,30.63
55,81,North Carolina State Univ - Raleigh,Pack Motorsports,19.6,0,26.9,0,0,26.9,29.67
56,76,Government College of Engrg Pune,Team Nemesis Racing,23.1,8.774,25.4,11.345,0,25.4,27.61
57,75,Univ of Calif - Los Angeles,Bruin Racing,25.1,8.925,,,0,25.1,27.2
58,101,Univ of Kansas - Lawrence,JMSBaja,24.3,0.581,24.4,20.164,0,24.4,26.24
59,40,Univ of Tennessee -Chattanooga,UTC Racing Mocs,23.4,11.599,19.5,11.191,0,23.4,24.86
60,29,Univ of Nevada - Las Vegas,Rebel Racing,21.8,13.645,11.3,10.842,0,21.8,22.66
61,58,Univ of Virginia,Virginia Motorsports,21.8,11.641,,,0,21.8,22.66
62,119,Univ of Rochester,Yellowjacket Racing,21.5,11.606,,,0,21.5,22.25
63,51,Univ of West Florida,UWF Argos,18.1,10.217,21.4,10.045,0,21.4,22.12
64,38,Bucknell Univ,Bucknell Baja,20.9,11.941,17.9,10.894,0,20.9,21.43
65,44,Michigan State Univ,MSU Baja,4,9.403,20.5,9.663,0,20.5,20.88
66,71,Iowa State Univ,Cyclone Racing,13.8,9.055,18,10.967,0,18,17.45
67,87,Virginia Tech,VT Baja,16.4,13.756,,,0,16.4,15.25
68,116,Univ of Notre Dame,Irish Racing,15.9,13.044,,,0,15.9,14.56
69,42,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,15,11.934,,,0,15,13.32
70,64,Univ of Tennessee - Martin,SKYHAWK Racing,14.1,9.802,13.5,10.353,0,14.1,12.09
71,32,Cummins College Of Engineering,TZ5,14,13.244,12,36.38,0,14,11.95
72,118,Queen's Univ,Queen's Baja,9.6,12.23,13.4,12.826,0,13.4,11.13
73,109,Univ of Illinois - Urbana Champaign,Off-Road Illini,10.8,12.942,,,0,10.8,7.55
74,26,East Carolina Univ,East Carolina,5.3,9.208,,,0,5.3,0
,20,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles BAJA,,,,,,,0
,25,Middle Tennessee State Univ,MTSU motorsports,,,,,,,0
,31,Millersville Univ of PA,Millersville Baja,,,,,,,0
,39,Oklahoma Christian Univ,Eagle Heavy 1,,,,,,,0
,66,Ohio Northern Univ,Polar Bear Racing,,,,,,,0
,69,Olivet Nazarene Univ,ONU Racing19,,,,,,,0
,77,Missouri State University,MSU Baja,,,,,,,0
,86,Univ of Missouri - Kansas City,UMKC Baja Racing,,,,,,,0
,92,Louisiana State Univ,Baja Bengals,,,,,,,0
,95,Univ of Arkansas - Fayetteville,Full Boar Racing,,,,,,,0
,114,Univ of Missouri,Mizzou Baja Racing,,,,,,,0
,115,Univ of Alabama - Birmingham,Blazer Motorsports,,,,,,,0
