Rank,Car #,School,Team,Distance Run 1,Time Run 1,# Minor Penalty Run 1,Total Dist Run 1,Total Time Run 1,Distance Run 2,Time Run 2,# Minor Penalty Run 2,Total Dist Run 2,Total Time Run 2,Best Time,Best Distance,Score
1,49,Oregon State Univ,Beaver Racing,5,48.283,0,5,0,18,65.804,0,18,65.804,65.804,18,75
2,89,California State Univ- Chico,Wildcat racing,18,72.264,0,18,72.264,,,,,,72.264,18,68.3
3,3,Rochester Institute of Technology,RIOT RACING,18,72.618,0,18,72.618,3,0,0,3,0,72.618,18,67.96
4,106,Central Michigan Univ,Chippewa Performance,3,39.442,0,3,0,18,78.362,0,18,78.362,78.362,18,62.98
5,8,Univ of Nebraska - Lincoln,Husker Racing,2,0,0,2,0,17,94.656,0,17,0,0,17,59.48
6,108,Case Western Reserve Univ,CWRU Motorsports,7,0,0,7,0,16,0,0,16,0,0,16,55.98
7,6,Clarkson University,Golden Knights Racing,3,26.694,0,3,0,13,0,0,13,0,0,13,45.49
8,18,Lamar Univ,BB2,11,111.356,0,11,0,,,,,,0,11,38.49
9,71,Iowa State Univ,Cyclone Racing,9,66.375,0,9,0,,,,,,0,9,31.49
10,5,San Diego State Univ,Aztec Baja,5,0,0,5,0,8,121.76,0,8,0,0,8,27.99
11,7,Univ of Michigan - Ann Arbor,Michigan Baja Racing,3,106.598,0,3,0,8,376.573,0,8,0,0,8,27.99
12,22,Western New England University,Golden Bear Racing,3,60.704,1,2,0,8,0,0,8,0,0,8,27.99
13,81,North Carolina State Univ - Raleigh,Pack Motorsports,8,0,0,8,0,,,,,,0,8,27.99
14,123,Georgia Institute of Technology,GT Off-Road,8,0,0,8,0,,,,,,0,8,27.99
15,1,Cornell Univ,Cornell Baja,4,0.653,0,4,0,5,55.427,0,5,0,0,5,17.49
16,65,Univ of Wisconsin - Stout,Blue Devil Racing,3,128.936,0,3,0,5,42.462,0,5,0,0,5,17.49
17,73,Kansas State Univ,Wildcat Offroad,2,92.801,0,2,0,5,0,0,5,0,0,5,17.49
18,94,Maharaja Agrasen Institute Of Tech,Team Jatayu,2,0,1,1,0,5,99.684,0,5,0,0,5,17.49
19,53,Univ of Maryland - Baltimore County,UMBC Racing,5,52.748,0,5,0,3,112.087,0,3,0,0,5,17.49
20,46,Harding Univ,Bison Baja,5,39.073,0,5,0,2,20.584,0,2,0,0,5,17.49
21,50,Lawrence Technological Univ,Blue Devil Motorsports,5,87.249,0,5,0,2,6.819,0,2,0,0,5,17.49
22,17,Purdue Univ - Northwest,PNW Motorsports,5,25.13,0,5,0,,,,,,0,5,17.49
23,19,Rowan Univ,Rowan Motorsports,5,0,0,5,0,,,,,,0,5,17.49
24,54,Youngstown State Univ,YSU Baja,5,0,0,5,0,,,,,,0,5,17.49
