Rank,Car #,School,Team,Time Run 1,Time Run 2,Best Time,Score
1,36,Univ of Michigan - Ann Arbor,Michigan Baja Racing,5.424,5.415,5.415,70
2,53,Cornell Univ,Cornell Univ,5.52,5.7,5.52,66.78
3,33,Case Western Reserve Univ,CWRU Motorsports,5.552,5.642,5.552,65.79
4,48,Univ of Nevada - Las Vegas,Rebel Racing,5.583,5.607,5.583,64.84
5,14,New Mexico State Univ,NMSU Motorsports,6.565,5.792,5.792,58.43
6,45,San Diego State Univ,Aztec Baja Racing,6.312,5.816,5.816,57.69
7,46,Rochester Institute of Technology,RIOT RACING,5.857,5.906,5.857,56.43
8,80,Univ of Wisconsin - Madison,Badger Racing,5.941,5.9,5.9,55.11
9,23,ITESM - Queretaro,Exergia Racing Team,5.961,6.336,5.961,53.24
10,73,George Washington Univ,GW Baja,6.025,6.005,6.005,51.89
11,41,Ecole de Technologie Superieure,Baja ETS,6.093,6.011,6.011,51.7
12,64,Youngstown State Univ,penguin baja racing,6.053,6.045,6.045,50.66
13,31,Johns Hopkins Univ,Blue Jay Racing,6.095,6.06,6.06,50.2
14,38,Univ of Maryland - Baltimore County,UMBC Racing,6.253,6.187,6.187,46.3
15,20,ITESM - Campus Guadalajara,Mad Rams,6.198,6.28,6.198,45.96
16,81,Southern Illinois Univ - Edwardville,Cougar Baja,6.223,6.424,6.223,45.19
17,67,McGill Univ,McGill Baja Racing,6.311,6.366,6.311,42.49
18,89,New Jersey Institute of Technology,Highlander racing,6.386,6.421,6.386,40.19
19,52,Oregon State Univ,Beaver Racing,6.801,6.475,6.475,37.46
20,74,Univ of Illinois - Chicago,SAE at UIC,6.475,6.6,6.475,37.46
21,49,Cleveland State Univ,Vikings Racing,6.608,6.544,6.544,35.34
22,56,Kettering Univ,Kettering BAJA Team,6.638,6.703,6.638,32.45
23,68,Univ of San Diego,Torero Racing,6.735,6.739,6.735,29.47
24,84,Oklahoma Christian Univ,OC Baja Racing,6.821,6.813,6.813,27.08
25,30,Univ of Arizona,Baja Wildcat Racing,6.879,6.868,6.868,25.39
26,21,Universidad De La Salle Bajio,Felinos,6.869,7.007,6.869,25.36
27,42,Purdue Univ - Northwest,Purdue NW Baja Racing,6.923,7.181,6.923,23.7
28,78,Univ of Calif - Los Angeles,Bruin Racing Baja,7.252,7.004,7.004,21.21
29,77,FIME - UANL,UANL Racing Team,7.192,7.215,7.192,15.44
30,51,New Mexico Inst of Mining & Tech,Dirty Miners,7.209,7.24,7.209,14.92
31,19,Oregon Inst of Tech,OTR,7.695,7.833,7.695,0
,1,Ecole de Technologie Superieure,Engine Tester #001,,,,0
,2,Rochester Institute of Technology,Engine Tester #002,,,,0
,3,Univ of Michigan - Ann Arbor,Engine Tester #003,,,,0
,4,Oklahoma Christian Univ,Engine Tester #004,,,,0
,6,Oregon State Univ,Engine Tester #006,,,,0
,17,Universidad La Salle,Aguilas la salle,,,,0
,18,NUST-School of Mechanical & Mfg Engrg,Team Markhor,,,,0
,24,Mississippi State Univ,Mud Dawg Motorsports,,,,0
,25,Instituto Tecnologico de Chihuahua,Panteras Racing,,,,0
,43,Univ of Missouri,Mizzou Baja SAE Racing,,,,0
,57,Wichita State Univ,Shocker Racing,,,,0
,58,Universidad Autonoma De Nuevo Leon,TigreMotors UANL,,,,0
,59,Southern Utah Univ,SUU BAJA Club,,,,0
,63,Vellore Institute of Technology Chennai,Team Saksham International,,,,0
,72,Kansas State Univ,Wildcat Offroad,,,,0
,85,Cetys Universidad,CMB Racing,,,,0
,87,California State Univ - Los Angeles,Rugged Eagle Motorsports,,,,0
,199,Baja SAE National Tech,Test Car,,,,0
