Rank,Car #,School,Team,Report Score,Penalty Points,Final Score,Message For Team
1,48,Univ of Nevada - Las Vegas,Rebel Racing,20,0,100,
2,36,Univ of Michigan - Ann Arbor,Michigan Baja Racing,17,0,91.4,
3,41,Ecole de Technologie Superieure,Baja ETS,20,0,91.2,
4,46,Rochester Institute of Technology,RIOT RACING,16,0,88,
5,52,Oregon State Univ,Beaver Racing,20,0,87.2,
6,73,George Washington Univ,GW Baja,18,0,86.8,
7,38,Univ of Maryland - Baltimore County,UMBC Racing,19,0,86.2,
8,80,Univ of Wisconsin - Madison,Badger Racing,20,0,84.8,
9,31,Johns Hopkins Univ,Blue Jay Racing,20,0,82.4,
9,53,Cornell Univ,Cornell Univ,20,0,82.4,
11,20,ITESM - Campus Guadalajara,Mad Rams,14,0,82,
12,33,Case Western Reserve Univ,CWRU Motorsports,17,0,79.4,
13,23,ITESM - Queretaro,Exergia Racing Team,20,0,78.4,
14,59,Southern Utah Univ,SUU BAJA Club,8,0,74.4,
15,64,Youngstown State Univ,penguin baja racing,20,0,70.4,
16,14,New Mexico State Univ,NMSU Motorsports,8,0,66.4,
16,45,San Diego State Univ,Aztec Baja Racing,4,0,66.4,
18,19,Oregon Inst of Tech,OTR,20,0,62.4,
19,21,Universidad De La Salle Bajio,Felinos,17,0,61.8,
20,78,Univ of Calif - Los Angeles,Bruin Racing Baja,20,0,60,
21,67,McGill Univ,McGill Baja Racing,8,0,55.73,
21,67,McGill Univ,McGill Baja Racing,8,0,55.73,
23,56,Kettering Univ,Kettering BAJA Team,10,0,54,
24,74,Univ of Illinois - Chicago,SAE at UIC,14,0,49.2,
25,24,Mississippi State Univ,Mud Dawg Motorsports,6,0,48.4,
26,30,Univ of Arizona,Baja Wildcat Racing,6,0,46.8,
27,77,FIME - UANL,UANL Racing Team,0,0,45.6,
28,51,New Mexico Inst of Mining & Tech,Dirty Miners,7,0,40.79,
29,42,Purdue Univ - Northwest,Purdue NW Baja Racing,17,0,32.2,
30,17,Universidad La Salle,Aguilas la salle,20,0,20,Passed Tech Late and Missed Audit
30,63,Vellore Institute of Technology Chennai,Team Saksham International,20,0,20,Passed Tech Late and Missed Audit
32,68,Univ of San Diego,Torero Racing,13,0,13,Missed Audit
33,18,NUST-School of Mechanical & Mfg Engrg,Team Markhor,12,0,12,Missed Audit
33,58,Universidad Autonoma De Nuevo Leon,TigreMotors UANL,12,0,12,Passed Tech Late and Missed Audit
35,72,Kansas State Univ,Wildcat Offroad,11,0,11,Passed Tech Late and Missed Audit
36,49,Cleveland State Univ,Vikings Racing,7,0,7,Missed Audit
37,25,Instituto Tecnologico de Chihuahua,Panteras Racing,6,0,6,Passed Tech Late and Missed Audit
38,43,Univ of Missouri,Mizzou Baja SAE Racing,4,0,4,Passed Tech Late and Missed Audit
,1,Ecole de Technologie Superieure,Engine Tester #001,,,0,
,2,Rochester Institute of Technology,Engine Tester #002,,,0,
,3,Univ of Michigan - Ann Arbor,Engine Tester #003,,,0,
,4,Oklahoma Christian Univ,Engine Tester #004,,,0,
,6,Oregon State Univ,Engine Tester #006,,,0,
,57,Wichita State Univ,Shocker Racing,,,0,
,81,Southern Illinois Univ - Edwardville,Cougar Baja,,,0,
,84,Oklahoma Christian Univ,OC Baja Racing,,,0,
,85,Cetys Universidad,CMB Racing,,,0,
,87,California State Univ - Los Angeles,Rugged Eagle Motorsports,,,0,
,89,New Jersey Institute of Technology,Highlander racing,,,0,
,199,Baja SAE National Tech,Test Car,,,0,
