Rank,Car #,School,Team,Eval. Score,Final Score,Message For Team
1,64,Youngstown State Univ,penguin baja racing,70,77,Finals
2,33,Case Western Reserve Univ,CWRU Motorsports,70,75,Finals
3,42,Purdue Univ - Northwest,Purdue NW Baja Racing,70,73,Finals
4,18,NUST-School of Mechanical & Mfg Engrg,Team Markhor,70,70,Finals
4,30,Univ of Arizona,Baja Wildcat Racing,70,70,Updated
4,36,Univ of Michigan - Ann Arbor,Michigan Baja Racing,70,70,Finals
4,48,Univ of Nevada - Las Vegas,Rebel Racing,70,70,Finals
8,80,Univ of Wisconsin - Madison,Badger Racing,60.6,60.6,
9,46,Rochester Institute of Technology,RIOT RACING,60.5,60.5,
10,78,Univ of Calif - Los Angeles,Bruin Racing Baja,58.65,58.65,
11,53,Cornell Univ,Cornell Univ,57.47,57.47,
12,17,Universidad La Salle,Aguilas la salle,56.69,56.69,
13,89,New Jersey Institute of Technology,Highlander racing,55.44,55.44,
14,51,New Mexico Inst of Mining & Tech,Dirty Miners,54.75,54.75,
15,68,Univ of San Diego,Torero Racing,54.5,54.5,
16,57,Wichita State Univ,Shocker Racing,54.19,54.19,
17,67,McGill Univ,McGill Baja Racing,54.08,54.08,
18,43,Univ of Missouri,Mizzou Baja SAE Racing,53.72,53.72,
19,21,Universidad De La Salle Bajio,Felinos,53.15,53.15,
20,19,Oregon Inst of Tech,OTR,53,53,
21,31,Johns Hopkins Univ,Blue Jay Racing,51.46,51.46,
22,87,California State Univ - Los Angeles,Rugged Eagle Motorsports,49.2,49.2,
23,52,Oregon State Univ,Beaver Racing,49.18,49.18,
24,14,New Mexico State Univ,NMSU Motorsports,48.58,48.58,
25,24,Mississippi State Univ,Mud Dawg Motorsports,48.31,48.31,
26,45,San Diego State Univ,Aztec Baja Racing,47.7,47.7,
27,23,ITESM - Queretaro,Exergia Racing Team,47.19,47.19,
28,74,Univ of Illinois - Chicago,SAE at UIC,46.36,46.36,
29,58,Universidad Autonoma De Nuevo Leon,TigreMotors UANL,46.17,46.17,
30,59,Southern Utah Univ,SUU BAJA Club,45.45,45.45,
31,73,George Washington Univ,GW Baja,44.13,44.13,
32,25,Instituto Tecnologico de Chihuahua,Panteras Racing,43.91,43.91,
33,72,Kansas State Univ,Wildcat Offroad,42.65,42.65,
34,41,Ecole de Technologie Superieure,Baja ETS,42.43,42.43,
35,81,Southern Illinois Univ - Edwardville,Cougar Baja,42.37,42.37,
36,84,Oklahoma Christian Univ,OC Baja Racing,41.94,41.94,
37,38,Univ of Maryland - Baltimore County,UMBC Racing,41.91,41.91,
38,85,Cetys Universidad,CMB Racing,39.89,39.89,
39,56,Kettering Univ,Kettering BAJA Team,39.39,39.39,
40,49,Cleveland State Univ,Vikings Racing,39.38,39.38,
41,63,Vellore Institute of Technology Chennai,Team Saksham International,37.83,37.83,
42,20,ITESM - Campus Guadalajara,Mad Rams,33.97,33.97,
43,77,FIME - UANL,UANL Racing Team,0,0,
,1,Ecole de Technologie Superieure,Engine Tester #001,,0,
,2,Rochester Institute of Technology,Engine Tester #002,,0,
,3,Univ of Michigan - Ann Arbor,Engine Tester #003,,0,
,4,Oklahoma Christian Univ,Engine Tester #004,,0,
,6,Oregon State Univ,Engine Tester #006,,0,
,199,Baja SAE National Tech,Test Car,,0,
