Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
1,80,Quinnipiac College,Bobcat Racing,77,5.398,77,5.139,5.139,77,70
2,87,Univ of Central Florida,Knights Racing,9.75,7.924,77,5.332,5.332,77,67.47
3,76,Montana State Univ - Bozeman,Bobcat Motorsports,77,5.532,77,5.923,5.532,77,65.03
4,56,Rochester Institute of Technology,RIOT RACING,77,5.865,77,5.656,5.656,77,63.6
5,119,Georgia Institute of Technology,GT Off-Road,77,5.998,77,7.08,5.998,77,59.97
6,89,The Ohio State University,Baja Buckeyes,74,15.393,77,6.939,6.939,77,51.84
7,93,Univ of Akron,Zips Baja,77,8.023,72,24.255,8.023,77,44.84
8,38,Université Laval,Alerion,77,8.997,75,21.964,8.997,77,39.98
9,68,Iowa State Univ,Cyclone Off-Road Racing,76,13.027,71.5,14.882,0,76,39.46
10,24,Northeastern Univ,Skunkworks,73.2,25.597,64.7,16.097,0,73.2,38.01
11,30,Queen's Univ,Queen's Baja SAE,72.7,18.464,56.7,14.403,0,72.7,37.75
12,100,Lehigh Univ,Lehigh Engineers,72.5,17.554,66,16.662,0,72.5,37.65
13,105,Univ of Michigan - Ann Arbor,Michigan Baja Racing,68.5,2.148,64,14.865,0,68.5,35.57
14,116,Purdue Univ - Northwest,PNW Baja Motorsports,64.2,20.01,68,16.788,0,68,35.31
15,64,Univ of Manitoba,Red Lion Racing,66.7,41.523,67.5,18.032,0,67.5,35.05
16,107,Univ of Maryland - Baltimore County,UMBC Racing,65.5,18.701,58.2,21.01,0,65.5,34.01
17,61,San Diego State Univ,Aztec Baja Racing,64.7,17.005,56.5,23.954,0,64.7,33.6
18,29,IPN - UPIITA,Ocelot Racing IPN-UPIITA,52,13.175,63.2,14.059,0,63.2,32.82
19,95,Univ of Missouri - Kansas City,Roo Racing,8.75,11.169,62.7,12.276,0,62.7,32.56
20,19,Johns Hopkins Univ,Blue Jay Racing,38.2,12.112,62.5,18.283,0,62.5,32.45
21,86,Kansas State Univ,Wildcat Offroad,60,18.811,61,13.573,0,61,31.68
22,120,Youngstown State Univ,penguin baja racing,60.2,13.515,22.7,14.4,0,60.2,31.26
23,103,Univ of Missouri,Mizzou Baja Racing,57.2,56.208,56.7,19.348,0,57.2,29.7
24,115,North Carolina A & T State Univ,Aggie Racing,57.2,20.265,32.5,31.867,0,57.2,29.7
25,34,McGill Univ,McGill Baja Racing,56,13.754,17,19.31,0,56,29.08
26,37,Rowan Univ,Rowan Motorsports,1.25,11.282,54,0,0,54,28.04
27,84,Pittsburg State University,Gorilla Racing,51.2,14.637,48.2,21.699,0,51.2,26.59
28,15,Univ of Rochester,Yellowjacket Racing,31.7,31.615,47.7,23.269,0,47.7,24.77
29,31,Univ of Maryland - College Park,Terps Racing,46.5,19.946,32.5,26.715,0,46.5,24.15
30,55,Penn State Univ - Altoona,Penn State Altoona Motorsports,39.7,20.613,37.5,20.047,0,39.7,20.61
31,83,California Polytechnic State Univ-SLO,Cal Poly Racing,39.2,10.489,35.2,14.914,0,39.2,20.36
32,78,Union College,Union College BAJA Racing,38.5,16.025,,,0,38.5,19.99
33,18,Ohio Northern Univ,Polar Bear Racing,1.75,15.249,38,63.141,0,38,19.73
34,94,SUNY Inst of Tech - Utica,Wildcat Motorsports,37.5,11.286,,,0,37.5,19.47
35,32,Purdue Univ - W Lafayette,Purdue Baja Racing,35.2,22.413,37,31.337,0,37,19.21
36,40,Univ of Wisconsin - Madison,Badger Racing,35.7,28.872,36.5,48.149,0,36.5,18.95
37,102,Universidade de Santa Cruz do Sul,Baja de GalpÃ£o - UNISC,34.2,14.517,23.5,13.04,0,34.2,17.76
38,17,McMaster Univ,McMaster Baja Racing,31.2,15.963,15.2,15.624,0,31.2,16.2
39,123,North Carolina State Univ - Raleigh,Pack Motorsports,23.5,14.206,30.7,11.457,0,30.7,15.94
40,43,Univ of Nevada - Las Vegas,Rebel Racing,30.5,9.662,,,0,30.5,15.84
41,73,California State Univ- Chico,Wildcat racing,28,14.794,,,0,28,14.54
42,59,Georgia Southern Univ,Eagle Motorsports,26.2,15.123,1.5,10.391,0,26.2,13.6
43,96,Centro Universitario Da FEI,FEI Baja,25,44.458,16.5,21.054,0,25,12.98
44,65,Univ of Wisconsin - Platteville,Pioneer Racing,21.5,4.013,13.5,25.413,0,21.5,11.16
45,21,Univ of San Diego,Torero Racing,17,1.349,20,23.453,0,20,10.39
46,110,Pennsylvania College of Technology,PCT Baja,19.7,27.119,7.75,10.273,0,19.7,10.23
47,52,Miami Univ,Redhawk Racing,15.2,16.446,19.2,34.768,0,19.2,9.97
48,62,Cleveland State Univ,Vikings Racing,11.2,7.267,16.2,7.616,0,16.2,8.41
49,66,Stevens Institute of Technology,Dirty Ducks Racing,16.2,18.355,,,0,16.2,8.41
50,79,Grove City College,Grove City Racing,0,35.17,14.7,35.478,0,14.7,7.63
51,125,Ecole de Technologie Superieure,Baja ETS,4.75,18.347,11.2,113.699,0,11.2,5.82
52,104,Cornell Univ,Cornell Baja Racing,2.5,11.812,10.2,11.776,0,10.2,5.3
53,67,Concordia University,Concordia Baja Racing,10,20.147,1,4.967,0,10,5.19
54,26,California State Univ - Los Angeles,Rugged Eagle Motorsports,6.25,13.758,3.75,2.234,0,6.25,3.25
55,16,Virginia Tech,VT Baja,6.25,11.271,1.25,9.28,0,6.25,3.25
56,44,Manhattan College,Manhattan College Jasper Racing,0,5.262,6,36.004,0,6,3.12
57,121,Tennessee Tech Univ,TnTech Baja,6,14.276,5.25,26.636,0,6,3.12
58,35,Case Western Reserve Univ,CWRU Motorsports,4.75,7.836,5.5,37.789,0,5.5,2.86
59,118,West Virginia Univ,Mountaineers,5,9.456,,,0,5,2.6
60,49,San Jose State University,Spartan Racing,4.5,18.909,,,0,4.5,2.34
61,28,Clarkson University,Golden Knights Racing,4.25,12.15,3.7,0,0,4.25,2.21
62,69,New York University,NYU Tandon Motorsports,3.5,30.316,,,0,3.5,1.82
63,126,Univ of Illinois - Chicago,UIC Motorsports,3.25,50.407,3.25,12.608,0,3.25,1.69
64,36,Univ of Iowa,Iowa Baja Racing,0.5,14.187,2.5,16.014,0,2.5,1.3
65,82,Univ of Puerto Rico-Mayaquez,RUM Racing Baja SAE,2.25,50.329,,,0,2.25,1.17
66,23,Univ of Arizona,Baja Wildcat Racing,1.5,23.846,0.5,22.668,0,1.5,0.78
67,25,College of New Jersey,TCNJ Motorsports,1.5,27.587,0,2.257,0,1.5,0.78
68,39,California State Poly Univ - Pomona,Bronco Racing,0.75,52.985,,,0,0.75,0.39
69,127,Michigan State University,MSU Baja Racing,0,9.105,0.5,19,0,0.5,0.26
70,90,Fairfield Univ,Fairfield University Baja,0.5,26.716,0,20.007,0,0.5,0.26
71,47,Univ of Tennessee -Chattanooga,Racing Mocs,0,0,,,0,0,0
