Rank,Car #,School,Team,Time Run 1,# Minor Penalty Run 1,# Major Penalty Run 1,Total Time Run 1,Time Run 2,# Minor Penalty Run 2,# Major Penalty Run 2,Total Time Run 2,Best Time,Score
1,71,Ecole de Technologie Superieure,Baja ETS,56.358,0,0,56.358,55.565,0,0,55.565,55.565,70
2,26,Oregon State Univ,Beaver Racing,59.253,0,0,59.253,56.328,0,0,56.328,56.328,69.36
3,114,Purdue Univ - W Lafayette,Purdue Baja Racing,58.964,0,0,58.964,57.664,0,0,57.664,57.664,68.24
4,98,Univ of Michigan - Ann Arbor,Michigan Baja Racing,57.673,0,0,57.673,58.406,0,0,58.406,57.673,68.23
5,113,Rochester Institute of Technology,RIOT RACING,59.219,0,0,59.219,58.082,0,0,58.082,58.082,67.89
6,106,Université Laval,Alerion,80.664,0,0,--DNF--,59.828,0,0,59.828,59.828,66.42
7,116,Cornell Univ,Cornell Baja Racing,60.137,0,0,60.137,,,,,60.137,66.16
8,112,Iowa State Univ,Cyclone Off-Road Racing,61.741,1,0,63.741,60.352,0,0,60.352,60.352,65.98
9,101,Virginia Tech,VT Baja,64.978,2,1,--DNF--,60.798,0,0,60.798,60.798,65.61
10,94,McMaster Univ,McMaster Baja Racing,61.541,1,0,63.541,60.027,1,0,62.027,62.027,64.57
11,75,Southern Illinois Univ - Edwardville,Cougar Baja,60.618,1,0,62.618,60.237,1,0,62.237,62.237,64.4
12,14,Tennessee Tech Univ,TnTech Baja,64.276,0,0,--DNF--,62.45,0,0,62.45,62.45,64.22
13,45,Western New England University,Golden Bear Racing,73.015,3,1,--DNF--,62.542,0,0,62.542,62.542,64.14
14,15,Bradley Univ,B Squared,62.62,0,0,62.62,63.022,0,0,63.022,62.62,64.07
15,108,Pennsylvania College of Technology,PCT Baja,60.731,6,0,72.731,60.756,1,0,62.756,62.756,63.96
16,109,Univ of Maryland - College Park,Terps Racing,93.352,6,0,--DNF--,64.124,0,0,64.124,64.124,62.81
17,22,Georgia Institute of Technology,GT Off-Road,70.825,3,0,76.825,62.125,1,0,64.125,64.125,62.81
18,82,Univ of Pittsburgh - Johnstown,Steel Panther Racing,111.631,6,0,--DNF--,65.628,0,0,65.628,65.628,61.55
19,122,Lehigh Univ,Lehigh Engineers,69.547,4,0,--DNF--,63.022,2,0,67.022,67.022,60.38
20,51,Universidad Autonoma Estado Mexico,Sara Juana,74.176,2,0,78.176,67.676,2,0,71.676,71.676,56.47
21,16,Utah State University,USU Mini Baja,74.389,2,0,--DNF--,72.341,0,0,72.341,72.341,55.91
22,54,Texas A&M Univ,Fightin' Texas Aggie Motorsport,67.796,3,0,73.796,64.964,0,0,--DNF--,73.796,54.69
23,85,Central Michigan Univ,CMU Baja,73.773,1,0,--DNF--,73.67,1,0,75.67,75.67,53.11
24,39,Univ of Colorado - Boulder,CU Boulder Baja,74.693,4,0,82.693,72.714,2,0,76.714,76.714,52.24
25,96,Johns Hopkins Univ,Blue Jay Racing,61.596,4,1,79.596,65.806,2,0,--DNF--,79.596,49.82
26,77,Western University,Western Baja SAE,76.062,3,0,82.062,,,,,82.062,47.75
27,65,Northwestern Univ,Northwestern MotorCats,74.315,1,0,--DNF--,81.724,2,0,85.724,85.724,44.67
28,28,Youngstown State Univ,penguin baja racing,86.858,0,0,--DNF--,87.566,0,0,87.566,87.566,43.12
29,67,South Dakota State Univ,Jackrabbit Baja,82.998,8,0,98.998,80.637,5,0,--DNF--,98.998,33.52
30,49,Middle Tennessee State Univ,MTSU motorsports,158.903,0,0,158.903,,,,,158.903,0
,11,Purdue Univ - Northwest,PNW Baja Motorsports,,,,,,,,,,0
,13,Auburn Univ,Auburn Off-Road,,,,,,,,,,0
