Rank,Car #,School,Team,Eval. Score,Final Score,Message For Team
1,28,Youngstown State Univ,penguin baja racing,77,77,Finalist
2,104,Univ of Missouri - Kansas City,Roo Racing,75,75,Finalist
3,114,Purdue Univ - W Lafayette,Purdue Baja Racing,73,73,Finalist
4,115,Univ of Nevada - Las Vegas,Rebel Racing,71,71,Finalist
5,85,Central Michigan Univ,CMU Baja,70,70,Finalist
5,94,McMaster Univ,McMaster Baja Racing,70,70,Finalist
5,98,Univ of Michigan - Ann Arbor,Michigan Baja Racing,70,70,Finalist; Updated
5,100,Case Western Reserve Univ,CWRU Motorsports,70,70,Finalist
5,109,Univ of Maryland - College Park,Terps Racing,70,70,Finalist
10,106,Université Laval,Alerion,65.35,65.35,
11,40,South Dakota School of Mines & Tech,Hardrocker Gold,64.35,64.35,
12,11,Purdue Univ - Northwest,PNW Baja Motorsports,61.46,61.46,
13,105,Univ of Rochester,Yellowjacket Racing,61.28,61.28,
14,113,Rochester Institute of Technology,RIOT RACING,60.84,60.84,
15,49,Middle Tennessee State Univ,MTSU motorsports,60.84,60.84,
16,68,Michigan State University,MSU Baja Racing,60.78,60.78,Updated
17,34,North Carolina State Univ - Raleigh,Pack Motorsports,59.98,59.98,
18,76,Brigham Young University,BYU Baja,59.82,59.82,
19,102,Georgia Southern Univ,Eagle Motorsports,59.75,59.75,
20,33,Univ of Calif - Los Angeles,Bruin Racing Baja,59,59,
21,112,Iowa State Univ,Cyclone Off-Road Racing,58.85,58.85,
22,103,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,58.22,58.22,
23,55,Virginia Military Inst,VMI Baja,58.02,58.02,
24,116,Cornell Univ,Cornell Baja Racing,57.8,57.8,
25,45,Western New England University,Golden Bear Racing,56.15,56.15,
26,15,Bradley Univ,B Squared,55.99,55.99,
27,117,New Jersey Institute of Technology,Highlander racing,55.75,55.75,
28,122,Lehigh Univ,Lehigh Engineers,55.4,55.4,
29,61,Univ of Alabama - Tuscaloosa,Bama Racing,55.4,55.4,
30,77,Western University,Western Baja SAE,55.08,55.08,
31,72,New Mexico Inst of Mining & Tech,NMT Baja SAE,55.06,55.06,
32,118,Univ of San Diego,Torero Racing,54.8,54.8,
33,119,Queen's Univ,Queen's Baja SAE,54.59,54.59,
34,110,McGill Univ,McGill Baja Racing,54.38,54.38,
35,13,Auburn Univ,Auburn Off-Road,53.73,53.73,
36,17,Univ of Nebraska - Lincoln,Husker Racing,53.09,53.09,
37,70,Clemson Univ,Clemson University BAJA SAE,52.91,52.91,
39,90,Christian Brothers Univ,Desert Demons,51.94,51.94,
40,96,Johns Hopkins Univ,Blue Jay Racing,51.49,51.49,
41,82,Univ of Pittsburgh - Johnstown,Steel Panther Racing,51.31,51.31,
42,92,Univ of Tennessee -Chattanooga,Racing Mocs,50.97,50.97,
43,31,Univ of West Florida,Argo Racing,50.43,50.43,
44,97,Clarkson University,Golden Knights Racing,50.34,50.34,
45,54,Texas A&M Univ,Fightin' Texas Aggie Motorsport,50.16,50.16,
46,22,Georgia Institute of Technology,GT Off-Road,50.15,50.15,
48,14,Tennessee Tech Univ,TnTech Baja,49.47,49.47,
49,26,Oregon State Univ,Beaver Racing,49.45,49.45,
50,101,Virginia Tech,VT Baja,48.79,48.79,
51,35,Lawrence Technological Univ,Blue Devil Motorsports,48.45,48.45,
52,51,Universidad Autonoma Estado Mexico,Sara Juana,48.36,48.36,
53,111,San Diego State Univ,Aztec Baja Racing,47.96,47.96,
54,29,Northern Arizona Univ,Lumberjack Motorsports,47.5,47.5,
56,48,Montana Tech,MTech Baja,46.69,46.69,
57,38,Univ of Illinois - Chicago,UIC Motorsports,46.62,46.62,
58,63,Missouri University of Science and Tech,Miner Baja,46.51,46.51,
59,58,Univ of Southern Indiana,Screaming Eagle Racing,45.38,45.38,
60,50,Lipscomb Univ,Lipscomb Motorsports,44.4,44.4,
61,65,Northwestern Univ,Northwestern MotorCats,43.9,43.9,
62,56,Old Dominion Univ,Whiskey Throttle Racing,43.9,43.9,
63,41,Michigan Tech Univ,MTU Blizzard Baja,43.35,43.35,
64,62,Univ of Tennessee - Martin,Skyhawk Racing,43.22,43.22,
65,93,Univ of Central Florida,Knights Racing,42.95,42.95,
66,75,Southern Illinois Univ - Edwardville,Cougar Baja,42.9,42.9,
67,83,Arkansas State Univ,Red Wolf Riders,42.7,42.7,
68,39,Univ of Colorado - Boulder,CU Boulder Baja,42.17,42.17,
69,42,Oklahoma Christian Univ,OC Baja Racing,42.16,42.16,
70,95,Univ of Maryland - Baltimore County,UMBC Racing,42.12,42.12,
71,71,Ecole de Technologie Superieure,Baja ETS,41.84,41.84,
72,32,Louisiana Tech Univ,LA Tech Baja,41.55,41.55,
73,30,Western Kentucky Univ,WKU Blackhawks,41.37,41.37,
74,64,Seattle Pacific Univ,SPU Falcon Racing,41.37,41.37,
75,25,West Virginia Univ,Mountaineers,41.13,41.13,
76,89,Ohio Univ,Bobcat Baja,41.13,41.13,
77,18,North Carolina A & T State Univ,Aggie Racing,40.84,40.84,
79,44,Univ of Texas -Tyler,Desert Hare,40.73,40.73,
80,53,Cetys Universidad,CMB Racing,40.09,40.09,
82,59,Oklahoma State Univ,Cowboy Racing,38.91,38.91,
84,91,Northeastern Univ,Skunkworks,35.86,35.86,
85,74,Univ of Kansas - Lawrence,Jayhawk Motorsports Baja,35.5,35.5,
86,16,Utah State University,USU Mini Baja,34.82,34.82,
87,21,Harding Univ,Bison Baja,33.01,33.01,
88,81,Olivet Nazarene Univ,ONU Tiger Racing,30.61,30.61,
89,67,South Dakota State Univ,Jackrabbit Baja,30.13,30.13,
