Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
1,101,Virginia Tech,VT Baja,998,68.949,998,60.763,60.763,998,70
2,113,Rochester Institute of Technology,RIOT RACING,998,63.315,998,61.419,61.419,998,69.25
3,108,Pennsylvania College of Technology,PCT Baja,373,73.918,998,61.73,61.73,998,68.9
4,71,Ecole de Technologie Superieure,Baja ETS,998,65.802,998,61.9,61.9,998,68.71
5,106,Université Laval,Alerion,998,68.943,998,62.413,62.413,998,68.15
6,16,Utah State University,USU Mini Baja,998,67.437,998,62.547,62.547,998,68
7,112,Iowa State Univ,Cyclone Off-Road Racing,998,72.424,998,65.787,65.787,998,64.65
8,75,Southern Illinois Univ - Edwardville,Cougar Baja,998,70.382,998,67.031,67.031,998,63.45
9,122,Lehigh Univ,Lehigh Engineers,373,117.447,998,72.309,72.309,998,58.82
10,119,Queen's Univ,Queen's Baja SAE,251,43.506,998,75.794,75.794,998,56.12
11,42,Oklahoma Christian Univ,OC Baja Racing,998,76.037,,,76.037,998,55.94
12,98,Univ of Michigan - Ann Arbor,Michigan Baja Racing,323,0,998,76.499,76.499,998,55.6
13,26,Oregon State Univ,Beaver Racing,998,87.431,998,77.744,77.744,998,54.71
14,82,Univ of Pittsburgh - Johnstown,Steel Panther Racing,998,87.152,963,127.179,87.152,998,48.8
15,94,McMaster Univ,McMaster Baja Racing,323,62.482,998,91.241,91.241,998,46.62
16,39,Univ of Colorado - Boulder,CU Boulder Baja,323,140.004,998,93.055,93.055,998,45.71
17,28,Youngstown State Univ,penguin baja racing,323,0,998,99.15,99.15,998,42.9
18,45,Western New England University,Golden Bear Racing,267,106.711,998,102.993,102.993,998,41.3
19,96,Johns Hopkins Univ,Blue Jay Racing,323,64.952,998,103.704,103.704,998,41.01
20,63,Missouri University of Science and Tech,Miner Baja,251,60.16,998,126.434,126.434,998,33.64
21,115,Univ of Nevada - Las Vegas,Rebel Racing,996,1.76,,,0,996,33.57
22,116,Cornell Univ,Cornell Baja Racing,775,0,,,0,775,26.12
23,22,Georgia Institute of Technology,GT Off-Road,165,38.148,457,0,0,457,15.4
24,76,Brigham Young University,BYU Baja,200,65.521,457,0,0,457,15.4
25,91,Northeastern Univ,Skunkworks,457,0.853,250,39.435,0,457,15.4
26,17,Univ of Nebraska - Lincoln,Husker Racing,322,12.12,386,261.018,0,386,13.01
27,65,Northwestern Univ,Northwestern MotorCats,386,0,371,148.133,0,386,13.01
28,15,Bradley Univ,B Squared,385,7.158,385,2.373,0,385,12.98
29,61,Univ of Alabama - Tuscaloosa,Bama Racing,385,48.813,,,0,385,12.98
30,114,Purdue Univ - W Lafayette,Purdue Baja Racing,323,0,373,53.824,0,373,12.57
31,51,Universidad Autonoma Estado Mexico,Sara Juana,373,51.481,,,0,373,12.57
32,54,Texas A&M Univ,Fightin' Texas Aggie Motorsport,368,113.254,,,0,368,12.4
33,67,South Dakota State Univ,Jackrabbit Baja,323,94.665,323,0,0,323,10.89
34,85,Central Michigan Univ,CMU Baja,46,29.577,323,2.746,0,323,10.89
35,111,San Diego State Univ,Aztec Baja Racing,323,37.173,,,0,323,10.89
36,34,North Carolina State Univ - Raleigh,Pack Motorsports,317,0,,,0,317,10.69
37,55,Virginia Military Inst,VMI Baja,262,92.765,,,0,262,8.83
38,14,Tennessee Tech Univ,TnTech Baja,251,32.123,251,0,0,251,8.46
39,109,Univ of Maryland - College Park,Terps Racing,251,3.5,,,0,251,8.46
40,100,Case Western Reserve Univ,CWRU Motorsports,246,32.701,,,0,246,8.29
41,72,New Mexico Inst of Mining & Tech,NMT Baja SAE,200,0,184,68.218,0,200,6.74
42,68,Michigan State University,MSU Baja Racing,162,38.818,,,0,162,5.46
43,69,Univ of Evansville,Aces Racing,152,68.506,,,0,152,5.12
44,118,Univ of San Diego,Torero Racing,139,50.245,,,0,139,4.69
45,25,West Virginia Univ,Mountaineers,125,0,,,0,125,4.21
46,11,Purdue Univ - Northwest,PNW Baja Motorsports,119,37.132,,,0,119,4.01
,13,Auburn Univ,Auburn Off-Road,,,,,,,0
,18,North Carolina A & T State Univ,Aggie Racing,,,,,,,0
,21,Harding Univ,Bison Baja,,,,,,,0
,23,Cummins College Of Engineering,TZ8,,,,,,,0
,24,Olin College of Engineering,Olin Baja SAE,,,,,,,0
,29,Northern Arizona Univ,Lumberjack Motorsports,,,,,,,0
,30,Western Kentucky Univ,WKU Blackhawks,,,,,,,0
,31,Univ of West Florida,Argo Racing,,,,,,,0
,32,Louisiana Tech Univ,LA Tech Baja,,,,,,,0
,33,Univ of Calif - Los Angeles,Bruin Racing Baja,,,,,,,0
,35,Lawrence Technological Univ,Blue Devil Motorsports,,,,,,,0
,38,Univ of Illinois - Chicago,UIC Motorsports,,,,,,,0
,40,South Dakota School of Mines & Tech,Hardrocker Gold,,,,,,,0
,41,Michigan Tech Univ,MTU Blizzard Baja,,,,,,,0
,43,Cincinnati State Technical Comm College,Cincy Baja,,,,,,,0
,44,Univ of Texas -Tyler,Desert Hare,,,,,,,0
,47,Geneva College,Geneva Racing,,,,,,,0
,48,Montana Tech,MTech Baja,,,,,,,0
,49,Middle Tennessee State Univ,MTSU motorsports,,,,,,,0
,50,Lipscomb Univ,Lipscomb Motorsports,,,,,,,0
,53,Cetys Universidad,CMB Racing,,,,,,,0
,56,Old Dominion Univ,Whiskey Throttle Racing,,,,,,,0
,58,Univ of Southern Indiana,Screaming Eagle Racing,,,,,,,0
,59,Oklahoma State Univ,Cowboy Racing,,,,,,,0
,62,Univ of Tennessee - Martin,Skyhawk Racing,,,,,,,0
,64,Seattle Pacific Univ,SPU Falcon Racing,,,,,,,0
,66,Citadel,Bulldog Baja,,,,,,,0
,70,Clemson Univ,Clemson University BAJA SAE,,,,,,,0
,74,Univ of Kansas - Lawrence,Jayhawk Motorsports Baja,,,,,,,0
,77,Western University,Western Baja SAE,,,,,,,0
,79,Northern Kentucky Univ,Norse Baja,,,,,,,0
,81,Olivet Nazarene Univ,ONU Tiger Racing,,,,,,,0
,83,Arkansas State Univ,Red Wolf Riders,,,,,,,0
,88,West Virginia Univ Inst of Tech,Golden Bear Racing,,,,,,,0
,89,Ohio Univ,Bobcat Baja,,,,,,,0
,90,Christian Brothers Univ,Desert Demons,,,,,,,0
,92,Univ of Tennessee -Chattanooga,Racing Mocs,,,,,,,0
,93,Univ of Central Florida,Knights Racing,,,,,,,0
,95,Univ of Maryland - Baltimore County,UMBC Racing,,,,,,,0
,97,Clarkson University,Golden Knights Racing,,,,,,,0
,102,Georgia Southern Univ,Eagle Motorsports,,,,,,,0
,103,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,,,,,,,0
,104,Univ of Missouri - Kansas City,Roo Racing,,,,,,,0
,105,Univ of Rochester,Yellowjacket Racing,,,,,,,0
,110,McGill Univ,McGill Baja Racing,,,,,,,0
,117,New Jersey Institute of Technology,Highlander racing,,,,,,,0
,124,Western Michigan Univ,Bronco BAJA,,,,,,,0
