Rank,Car #,School,Team,Report Score,Eval. Score,Bonus Points,Penalty Points,Final Score,Message For Team
1,92,Ecole de Technologie Superieure,Baja ETS,0,140,15,0,155,Finals
2,98,Youngstown State Univ,Penguin Baja Racing,0,140,5,0,145,Finals
3,95,Case Western Reserve Univ,CWRU Motorsports,0,140,0,0,140,Finals
4,27,Purdue Univ - W Lafayette,Purdue Baja Racing,0,130,0,0,130,
4,35,California Polytechnic State Univ-SLO,Cal Poly Racing,0,130,0,0,130,
4,51,California State Univ- Chico,Wildcat racing,0,130,0,0,130,
4,100,Northeastern Univ,Baja SAE Northeastern,0,130,0,0,130,
4,107,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,0,130,0,0,130,
9,13,Johns Hopkins Univ,Blue Jay Racing,0,120,0,0,120,
9,24,IPN - UPIITA,Ocelot Racing,0,120,0,0,120,
9,90,Univ of Michigan - Ann Arbor,Michigan Baja Racing,0,120,0,0,120,
9,99,Rochester Institute of Technology,RIOT RACING,0,120,0,0,120,
9,101,Cornell Univ,Cornell Baja Racing,0,120,0,0,120,
9,108,Georgia Institute of Technology,GT Off-Road,0,120,0,0,120,
15,57,Oregon State Univ,Beaver Racing,0,110,0,0,110,
15,109,McGill Univ,McGill Baja Racing,0,110,0,0,110,
17,38,Universidad De La Salle Bajio,Felinos,0,100,0,0,100,
17,48,Queen's Univ,Queen's baja SAE,0,100,0,0,100,
17,59,New Mexico Inst of Mining & Tech,Dirty Miners,0,100,0,0,100,
17,84,Virginia Tech,VT Baja,0,100,0,0,100,
17,94,McMaster Univ,McMaster Baja Racing,0,100,0,0,100,
17,104,Univ of Calif - Los Angeles,Bruin Racing Baja,0,100,0,0,100,
17,105,Univ of Central Florida,Knights Racing,0,100,0,0,100,
17,112,Univ of Maryland - Baltimore County,UMBC Racing,0,100,0,0,100,
25,14,California State Poly Univ - Pomona,Bronco Racing,0,90,0,0,90,
25,85,The Ohio State University,Baja Buckeyes,0,90,0,0,90,
25,96,North Carolina State Univ - Raleigh,Pack Motorsports,0,90,0,0,90,
28,17,South Dakota School of Mines & Tech,Hardrocker Gold,0,80,0,0,80,
28,61,Univ of Arizona,Baja Wildcat Racing,0,80,0,0,80,
28,89,Univ of Missouri - Kansas City,Roo Racing,0,80,0,0,80,
31,11,Univ of Calgary,Schulich Off Road,0,70,0,0,70,
31,18,Univ of Colorado - Boulder,CU Boulder Baja,0,70,0,0,70,
31,22,Texas A&M Univ,Fightin' Texas Aggie Motorsports,0,70,0,0,70,
31,23,K.J.Somaiya College of Engineering,RedShift Racing India,0,70,0,0,70,
31,37,Brigham Young University,BYU Baja,0,70,0,0,70,
31,42,Univ of Iowa,Iowa Baja Racing,0,70,0,0,70,
31,88,Clarkson University,Golden Knights Racing,0,70,0,0,70,
31,93,Université Laval,Alerion,0,70,0,0,70,
31,102,Univ of Akron,Zips Baja,0,70,0,0,70,
31,103,Tennessee Tech Univ,TN Tech Baja,0,70,0,0,70,
41,16,Univ of San Diego,Torero Racing,0,60,0,0,60,
41,21,Loyola Marymount Univ,Baja Lions Racing,0,60,0,0,60,
41,41,New York University,NYU Tandon Motorsports,0,60,0,0,60,
41,73,Univ of Calif - Irvine,Anteater Baja Racing,0,60,0,0,60,
41,77,Kansas State Univ,Wildcat Offroad,0,60,0,0,60,
46,15,SUNY - Stony Brook,Stony Brook Motorsports,0,50,0,0,50,
46,25,Utah State University,USU Baja,0,50,0,0,50,
46,28,Univ of Manitoba,Red Lion Racing,0,50,0,0,50,
46,49,Old Dominion Univ,Whiskey Throttle Racing,0,50,0,0,50,
46,52,Cetys Universidad,CMB Racing,0,50,0,0,50,
46,58,San Diego State Univ,Aztec Baja Racing,0,60,0,10,50,
46,62,Univ of Puerto Rico-Mayaquez,RUM Racing Baja,0,50,0,0,50,
46,64,Seattle Pacific Univ,Falcon Racing,0,50,0,0,50,
46,68,Montana Tech,Montana Tech BAJA,0,50,0,0,50,
46,74,Northern Arizona Univ,NAU Lumberjack Motorsports Baja,0,50,0,0,50,
46,86,Western University,Western Baja SAE,0,50,0,0,50,
46,87,Oregon Inst of Tech,OTR,0,50,0,0,50,
58,32,San Jose State University,Spartan Racing Baja SAE,0,40,0,0,40,
58,34,Stevens Institute of Technology,Stevens Baja,0,40,0,0,40,
58,36,Univ of Nebraska - Lincoln,Husker Racing,0,40,0,0,40,
58,43,California State Univ - Fullerton,CSUF Titan Racing,0,40,0,0,40,
58,44,California State Univ - Los Angeles,Rugged Eagle Motorsports,0,40,0,0,40,
58,50,Montana State Univ - Bozeman,Bobcat Motorsports,0,40,0,0,40,
58,56,ITESM - Campus Guadalajara,Mad Rams,0,40,0,0,40,
58,60,Manhattan College,Jasper Racing,0,40,0,0,40,
58,70,Univ of Nevada - Reno,Wolf Pack Racing,0,40,0,0,40,
58,106,SUNY - Buffalo,UB Motorsports,0,40,0,0,40,
68,19,Univ of Nevada - Las Vegas,Rebel Racing,0,40,0,10,30,
68,46,British Columbia Inst of Tech,BCIT BAJA,0,30,0,0,30,
68,55,Univ of Virginia,Virginia Motorsports,0,30,0,0,30,
68,76,South Dakota State Univ,Desert Hare Offroad,0,30,0,0,30,
68,116,Southern Utah Univ,SUU Baja,0,30,0,0,30,
73,12,New Mexico State Univ,NMSU Motorsports,0,10,0,0,10,
73,29,New Jersey Institute of Technology,Highlander racing,0,10,0,0,10,
73,30,Univ of Texas - Rio Grande,RGV Baja,0,10,0,0,10,
73,115,Univ of Rochester,Yellow Jacket Racing,0,10,0,0,10,
77,31,King Fahd Univ of Petroleum & Minerals,kfupm racing,0,5,0,0,5,
77,40,LeTourneau Univ,Renegade Racing,0,5,0,0,5,
77,71,Univ of Texas - El Paso,Madpete Motorsports,0,5,0,0,5,
80,20,Univ of Tennessee -Chattanooga,Racing Mocs,0,0,0,0,0,
80,33,Oklahoma State Univ,Cowboy Racing,0,0,0,0,0,
80,45,Univ of Oklahoma,Sooner Off-Road,0,0,0,0,0,
80,54,Univ of British Columbia,UBC Baja,0,0,0,0,0,
80,66,University of Mount Union,Mount Union,0,0,0,0,0,
80,80,Arizona State Univ Polytechnic,Sun Devil Racing,0,0,0,0,0,
80,117,Purdue Univ - Northwest,Purdue NW Baja Racing,0,0,0,0,0,
