Rank,Car #,School,Team,Distance Run 1,Time Run 1,Total Dist Run 1,Total Time Run 1,Distance Run 2,Time Run 2,Total Dist Run 2,Total Time Run 2,Best Time,Best Distance,Score
1,57,Oregon State Univ,Beaver Racing,320,75.611,320,90.611,320,53.661,320,58.661,58.661,320,70
2,92,Ecole de Technologie Superieure,Baja ETS,320,77,320,82,138,74.633,138,0,82,320,50.08
3,21,Loyola Marymount Univ,Baja Lions Racing,320,108.623,320,113.623,,,,,113.623,320,36.14
4,64,Seattle Pacific Univ,Falcon Racing,320,197.492,320,207.492,140,132.776,130,0,207.492,320,19.79
5,101,Cornell Univ,Cornell Baja Racing,281,1.553,281,0,51,31.907,46,0,0,281,17.38
6,86,Western University,Western Baja SAE,53,48.464,43,0,136,51.1,121,0,0,121,7.48
7,17,South Dakota School of Mines & Tech,Hardrocker Gold,62,12.734,52,0,91,25.353,91,0,0,91,5.63
8,107,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,88,27.403,88,0,88,34.505,88,0,0,88,5.44
9,16,Univ of San Diego,Torero Racing,87,0,87,0,,,,,0,87,5.38
10,84,Virginia Tech,VT Baja,63,19.495,63,0,91,24.387,86,0,0,86,5.32
11,25,Utah State University,USU Baja,91,45.756,86,0,66,14.551,61,0,0,86,5.32
12,13,Johns Hopkins Univ,Blue Jay Racing,85,0,85,0,61,15.092,51,0,0,85,5.26
13,44,California State Univ - Los Angeles,Rugged Eagle Motorsports,58,26.842,58,0,84,19.303,84,0,0,84,5.19
14,59,New Mexico Inst of Mining & Tech,Dirty Miners,50,2.994,50,0,83,46.981,83,0,0,83,5.13
15,93,Université Laval,Alerion,86,0,81,0,91,37.377,76,0,0,81,5.01
16,96,North Carolina State Univ - Raleigh,Pack Motorsports,77,22.018,72,0,85,37.341,80,0,0,80,4.95
17,95,Case Western Reserve Univ,CWRU Motorsports,50,10.32,50,0,86,19.21,76,0,0,76,4.7
18,18,Univ of Colorado - Boulder,CU Boulder Baja,76,44.63,76,0,,,,,0,76,4.7
19,35,California Polytechnic State Univ-SLO,Cal Poly Racing,80,20.878,75,0,83,16.33,73,0,0,75,4.64
20,90,Univ of Michigan - Ann Arbor,Michigan Baja Racing,80,29.432,75,0,50,15.142,40,0,0,75,4.64
21,50,Montana State Univ - Bozeman,Bobcat Motorsports,80,48.008,75,0,,,,,0,75,4.64
22,88,Clarkson University,Golden Knights Racing,83,0.629,73,0,63,366.101,58,0,0,73,4.51
23,24,IPN - UPIITA,Ocelot Racing,77,19.389,72,0,62,10.811,62,0,0,72,4.45
24,37,Brigham Young University,BYU Baja,50,68.186,35,0,69,30.212,64,0,0,64,3.96
25,27,Purdue Univ - W Lafayette,Purdue Baja Racing,63,16.054,58,0,83,53.627,63,0,0,63,3.9
26,104,Univ of Calif - Los Angeles,Bruin Racing Baja,54,0,44,0,66,28.09,61,0,0,61,3.77
