Rank,Car #,School,Team,Eval. Score,Final Score,Message For Team
1,101,Cornell Univ,Cornell Baja Racing,70,77,Finals
2,90,Univ of Michigan - Ann Arbor,Michigan Baja Racing,70,76,Finals
3,108,Georgia Institute of Technology,GT Off-Road,70,75,Finals
4,52,Cetys Universidad,CMB Racing,70,73,Finals
4,94,McMaster Univ,McMaster Baja Racing,70,73,Finals
6,92,Ecole de Technologie Superieure,Baja ETS,70,72,Finals
7,57,Oregon State Univ,Beaver Racing,70,71,Finals
7,99,Rochester Institute of Technology,RIOT RACING,70,71,Finals
9,95,Case Western Reserve Univ,CWRU Motorsports,70,70,Finals
9,117,Purdue Univ - Northwest,Purdue NW Baja Racing,70,70,Finals
11,107,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,62,62,
12,27,Purdue Univ - W Lafayette,Purdue Baja Racing,61,61,
12,109,McGill Univ,McGill Baja Racing,61,61,
14,48,Queen's Univ,Queen's baja SAE,59.8,59.8,
15,13,Johns Hopkins Univ,Blue Jay Racing,59,59,
15,17,South Dakota School of Mines & Tech,Hardrocker Gold,59,59,
15,61,Univ of Arizona,Baja Wildcat Racing,59,59,
18,68,Montana Tech,Montana Tech BAJA,58,58,
19,12,New Mexico State Univ,NMSU Motorsports,56,56,
19,19,Univ of Nevada - Las Vegas,Rebel Racing,56,56,
21,88,Clarkson University,Golden Knights Racing,55,55,
21,89,Univ of Missouri - Kansas City,Roo Racing,55,55,
23,45,Univ of Oklahoma,Sooner Off-Road,54,54,
24,23,K.J.Somaiya College of Engineering,RedShift Racing India,53,53,
24,87,Oregon Inst of Tech,OTR,53,53,
26,16,Univ of San Diego,Torero Racing,52,52,
26,42,Univ of Iowa,Iowa Baja Racing,52,52,
26,104,Univ of Calif - Los Angeles,Bruin Racing Baja,52,52,
29,24,IPN - UPIITA,Ocelot Racing,51,51,
29,25,Utah State University,USU Baja,51,51,
29,103,Tennessee Tech Univ,TN Tech Baja,51,51,
32,100,Northeastern Univ,Baja SAE Northeastern,49,49,
33,106,SUNY - Buffalo,UB Motorsports,48,48,
34,84,Virginia Tech,VT Baja,47,47,
34,98,Youngstown State Univ,Penguin Baja Racing,47,47,
36,28,Univ of Manitoba,Red Lion Racing,46,46,
37,21,Loyola Marymount Univ,Baja Lions Racing,45,45,
37,93,Université Laval,Alerion,45,45,
39,22,Texas A&M Univ,Fightin' Texas Aggie Motorsports,44,44,
39,73,Univ of Calif - Irvine,Anteater Baja Racing,44,44,
39,76,South Dakota State Univ,Desert Hare Offroad,44,44,
42,18,Univ of Colorado - Boulder,CU Boulder Baja,43,43,
42,20,Univ of Tennessee -Chattanooga,Racing Mocs,43,43,
42,35,California Polytechnic State Univ-SLO,Cal Poly Racing,43,43,
45,34,Stevens Institute of Technology,Stevens Baja,41,41,
46,15,SUNY - Stony Brook,Stony Brook Motorsports,40,40,
46,32,San Jose State University,Spartan Racing Baja SAE,40,40,
46,105,Univ of Central Florida,Knights Racing,40,40,
49,37,Brigham Young University,BYU Baja,39,39,
49,41,New York University,NYU Tandon Motorsports,39,39,
51,70,Univ of Nevada - Reno,Wolf Pack Racing,38,38,
51,112,Univ of Maryland - Baltimore County,UMBC Racing,38,38,
53,11,Univ of Calgary,Schulich Off Road,37,37,
53,59,New Mexico Inst of Mining & Tech,Dirty Miners,37,37,
55,29,New Jersey Institute of Technology,Highlander racing,35,35,
55,96,North Carolina State Univ - Raleigh,Pack Motorsports,35,35,
57,86,Western University,Western Baja SAE,34,34,
58,14,California State Poly Univ - Pomona,Bronco Racing,33.7,33.7,
59,62,Univ of Puerto Rico-Mayaquez,RUM Racing Baja,26,26,
60,31,King Fahd Univ of Petroleum & Minerals,kfupm racing,10,10,
60,33,Oklahoma State Univ,Cowboy Racing,10,10,
60,36,Univ of Nebraska - Lincoln,Husker Racing,10,10,
60,40,LeTourneau Univ,Renegade Racing,10,10,
60,44,California State Univ - Los Angeles,Rugged Eagle Motorsports,10,10,
60,50,Montana State Univ - Bozeman,Bobcat Motorsports,10,10,
60,51,California State Univ- Chico,Wildcat racing,10,10,
60,55,Univ of Virginia,Virginia Motorsports,10,10,
60,56,ITESM - Campus Guadalajara,Mad Rams,10,10,
60,58,San Diego State Univ,Aztec Baja Racing,10,10,
60,64,Seattle Pacific Univ,Falcon Racing,10,10,
60,71,Univ of Texas - El Paso,Madpete Motorsports,10,10,
60,74,Northern Arizona Univ,NAU Lumberjack Motorsports Baja,10,10,
60,77,Kansas State Univ,Wildcat Offroad,10,10,
60,80,Arizona State Univ Polytechnic,Sun Devil Racing,10,10,
60,85,The Ohio State University,Baja Buckeyes,10,10,
60,102,Univ of Akron,Zips Baja,10,10,
77,38,Universidad De La Salle Bajio,Felinos,5,5,
77,43,California State Univ - Fullerton,CSUF Titan Racing,5,5,
77,54,Univ of British Columbia,UBC Baja,5,5,
77,60,Manhattan College,Jasper Racing,5,5,
77,66,University of Mount Union,Mount Union,5,5,
77,116,Southern Utah Univ,SUU Baja,5,5,
83,30,Univ of Texas - Rio Grande,RGV Baja,0,0,
83,46,British Columbia Inst of Tech,BCIT BAJA,0,0,
83,49,Old Dominion Univ,Whiskey Throttle Racing,0,0,
83,115,Univ of Rochester,Yellow Jacket Racing,0,0,
