Rank,Car #,School,Team,Report Score,Eval. Score,Bonus Points,Penalty Points,Final Score,Message For Team
1,26,Ecole de Technologie Superieure,Baja ETS,0,130,15,0,145,Finals
2,76,Youngstown State Univ,Penguin Baja Racing,0,130,8,0,138,Finals
3,95,Johns Hopkins Univ,Blue Jay Racing,0,130,7,0,137,Finals
4,59,Univ of Michigan - Ann Arbor,Michigan Baja Racing,0,130,0,0,130,Finals
5,16,Case Western Reserve Univ,CWRU Motorsports,0,120,0,0,120,
5,99,California Polytechnic State Univ-SLO,Cal Poly Racing,0,120,0,0,120,
7,61,Univ of Calif - Los Angeles,Bruin Racing Baja,0,110,0,0,110,
7,62,Centro Universitario Da FEI,Equipe FEI Baja,0,110,0,0,110,
7,96,Purdue Univ - W Lafayette,Purdue Baja Racing,0,110,0,0,110,
10,31,Univ of Wisconsin - Madison,Badger Racing,0,100,0,0,100,
10,48,Cornell Univ,Cornell Baja Racing,0,100,0,0,100,
10,60,Rochester Institute of Technology,RIOT RACING,0,100,0,0,100,
13,21,Univ of Central Florida,Knights Racing,0,90,0,0,90,
13,29,McGill Univ,McGill Baja Racing,0,90,0,0,90,
13,43,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,0,90,0,0,90,
13,66,Concordia University,Concordia Baja Racing,0,90,0,0,90,
13,70,Univ of Missouri - Kansas City,Roo Racing,0,90,0,0,90,
18,19,McMaster Univ,McMaster Baja Racing,0,100,0,20,80,DRB 2 days late
18,34,North Carolina State Univ - Raleigh,Pack Motorsports,0,80,0,0,80,
18,53,Northeastern Univ,Baja SAE Northeastern,0,90,0,10,80,DRB 1 day late
18,55,Northwestern Univ,MotorCats,0,80,0,0,80,
18,88,Univ of Southern Indiana,Screaming Eagle Racing,0,80,0,0,80,
23,20,Tennessee Tech Univ,TN Tech Baja,0,70,0,0,70,
23,46,Iowa State Univ,Cyclone Off-Road Racing,0,70,0,0,70,
23,63,Georgia Institute of Technology,GT Off-Road,0,80,0,10,70,10 point pentalty for design comparsion report
23,79,Univ of Wisconsin - Platteville,Pioneer Racing,0,70,0,0,70,
23,93,Univ of Calgary,Schulich Off Road,0,70,0,0,70,
28,14,Purdue Univ - Northwest,Purdue NW Baja Racing,0,60,0,0,60,
28,22,Univ of Maryland - Baltimore County,UMBC Racing,0,60,0,0,60,
28,25,Univ of Maryland - College Park,Terps Racing Baja,0,60,0,0,60,
