Rank,Car #,School,Team,Eval. Score,Final Score,Message For Team
1,59,Univ of Michigan - Ann Arbor,Michigan Baja Racing,70,77,Finals
2,26,Ecole de Technologie Superieure,Baja ETS,70,75,Finals
3,14,Purdue Univ - Northwest,Purdue NW Baja Racing,70,73,Finals
4,48,Cornell Univ,Cornell Baja Racing,70,71,Finals
5,16,Case Western Reserve Univ,CWRU Motorsports,70,70,Finals
5,19,McMaster Univ,McMaster Baja Racing,70,70,Finals
5,31,Univ of Wisconsin - Madison,Badger Racing,70,70,Finals
5,43,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,70,70,Finals
5,60,Rochester Institute of Technology,RIOT RACING,70,70,Finals
5,63,Georgia Institute of Technology,GT Off-Road,70,70,Finals
11,29,McGill Univ,McGill Baja Racing,61,61,
11,96,Purdue Univ - W Lafayette,Purdue Baja Racing,61,61,
13,44,Michigan Tech Univ,Blizzard Baja Racing,60,60,
14,94,Queen's Univ,Queen's baja SAE,59.8,59.8,
15,95,Johns Hopkins Univ,Blue Jay Racing,59,59,
15,106,Universidade Federal de Pernambuco,Mangue Baja Tecnoferr,59,59,
17,27,Western Michigan Univ,Bronco BAJA,58,58,
17,62,Centro Universitario Da FEI,Equipe FEI Baja,58,58,
17,66,Concordia University,Concordia Baja Racing,58,58,
17,87,Univ of Cincinnati,Bearcat Baja,58,58,
21,15,Clarkson University,Golden Knights Racing,55,55,
21,70,Univ of Missouri - Kansas City,Roo Racing,55,55,
23,37,Cleveland State Univ,Vikings Racing,54,54,
24,61,Univ of Calif - Los Angeles,Bruin Racing Baja,52,52,
24,74,Harding Univ,Bison Baja,52,52,
24,98,Univ of San Diego,Torero Racing,52,52,
27,20,Tennessee Tech Univ,TN Tech Baja,51,51,
27,25,Univ of Maryland - College Park,Terps Racing Baja,51,51,
27,82,Univ of Alabama - Tuscaloosa,Bama Racing,51,51,
27,83,Michigan State University,MSU Baja Racing,51,51,
31,75,Lipscomb Univ,Lipscomb Baja,50,50,
32,18,Rowan Univ,Rowan Motorsports,49,49,
32,41,Central Michigan Univ,Chippewa Performance,49,49,
32,53,Northeastern Univ,Baja SAE Northeastern,49,49,
35,30,Arkansas State Univ,Red Wolf Riders,48,48,
35,69,SUNY - Buffalo,UB Motorsports,48,48,
37,76,Youngstown State Univ,Penguin Baja Racing,47,47,
38,17,St Clair County Community College,SC4 Baja,46,46,
39,38,Lawrence Technological Univ,LTU Baja SAE,43,43,
39,46,Iowa State Univ,Cyclone Off-Road Racing,43,43,
39,72,Bradley Univ,B Squared,43,43,
39,99,California Polytechnic State Univ-SLO,Cal Poly Racing,43,43,
43,58,West Virginia Univ,Mountaineers,42,42,
44,21,Univ of Central Florida,Knights Racing,40,40,
45,40,Virginia Military Inst,VMI Baja,39,39,
45,55,Northwestern Univ,MotorCats,39,39,
47,22,Univ of Maryland - Baltimore County,UMBC Racing,38,38,
48,56,Pennsylvania College of Technology,PCT Baja,37,37,
48,93,Univ of Calgary,Schulich Off Road,37,37,
50,34,North Carolina State Univ - Raleigh,Pack Motorsports,35,35,
50,97,New Jersey Institute of Technology,Highlander racing,35,35,
52,50,Universidad Autonoma Estado Mexico,Sara Juana RT,34,34,
53,54,Lamar Univ,Baja-ma Mama’s,33,33,
54,67,Lehigh Univ,Lehigh Engineers,30,30,
55,64,Bucknell Univ,Bucknell Baja,28,28,
56,57,Northern Kentucky Univ,Norse Baja,24,24,
57,84,Georgia Southern Univ,Eagle Motorsports,15,15,
58,24,Auburn Univ,Auburn Off Road,10,10,
58,32,Louisiana State Univ,Baja Bengals,10,10,
58,45,Univ of Pittsburgh - Johnstown,Steel Panther Racing,10,10,
58,47,Missouri University of Science and Tech,Miner Baja,10,10,
58,51,Pittsburg State University,PSU Gorilla Racing,10,10,
58,65,Embry-Riddle Aero Univ - Daytona Beach,ERAU Women’s Baja,10,10,
58,68,Wright State Univ,Raider Racing,10,10,
58,73,Southern Illinois Univ - Edwardville,Cougar Baja,10,10,
58,79,Univ of Wisconsin - Platteville,Pioneer Racing,10,10,
58,80,Oklahoma Christian Univ,OC Baja Racing,10,10,
58,85,Ohio Univ,Bobcat Baja,10,10,
58,88,Univ of Southern Indiana,Screaming Eagle Racing,10,10,
70,28,Cincinnati State Technical Comm College,Cincy Baja,5,5,
70,49,Union College,Union College BAJA Racing,5,5,
70,52,Milwaukee School of Engrg,MSOE BAJA,5,5,
70,81,Ferris State University,Ferris State Baja Racing Club,5,5,
70,111,University of Mount Union,Mount Union,5,5,
75,36,Univ of Rochester,Yellow Jacket Racing,0,0,
75,39,Christian Brothers Univ,Dust Brothers,0,0,
75,77,Univ of Tennessee-Knoxville,UTK Baja,0,0,
75,104,Univ of Notre Dame,Irish Racing,0,0,
75,108,Missouri State University,Bears Baja,0,0,
75,109,Univ of New Hampshire,Wildcats,0,0,
75,110,Marquette Univ,Marquette Eagle Racing,0,0,
