Rank,Car #,School,Team,Distance Run 1,Time Run 1,Distance Run 2,Time Run 2,Best Time,Best Distance,Score
1,60,Rochester Institute of Technology,RIOT RACING,9,31.89,3,27.898,31.89,9,70
2,99,California Polytechnic State Univ-SLO,Cal Poly Racing,5,44.205,9,41.429,41.429,9,53.88
3,59,Univ of Michigan - Ann Arbor,Michigan Baja Racing,9,41.748,5,32.838,41.748,9,53.47
4,26,Ecole de Technologie Superieure,Baja ETS,5,44.632,9,43.338,43.338,9,51.51
5,94,Queen's Univ,Queen's baja SAE,2,16.542,9,46.158,46.158,9,48.36
6,32,Louisiana State Univ,Baja Bengals,3,34.254,9,69.295,69.295,9,32.21
7,48,Cornell Univ,Cornell Baja Racing,8,49.202,0,8.095,0,8,28.64
8,40,Virginia Military Inst,VMI Baja,5,53.621,6,58.687,0,6,21.48
9,19,McMaster Univ,McMaster Baja Racing,6,51.829,5,50.994,0,6,21.48
10,66,Concordia University,Concordia Baja Racing,6,1.824,4,21.94,0,6,21.48
11,16,Case Western Reserve Univ,CWRU Motorsports,5,0,5,36.483,0,5,17.9
12,28,Cincinnati State Technical Comm College,Cincy Baja,5,54.811,5,64.746,0,5,17.9
13,31,Univ of Wisconsin - Madison,Badger Racing,4,23.317,5,45.948,0,5,17.9
14,34,North Carolina State Univ - Raleigh,Pack Motorsports,1,13.597,5,38.837,0,5,17.9
15,43,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,5,45.247,5,36.907,0,5,17.9
16,44,Michigan Tech Univ,Blizzard Baja Racing,5,35.292,5,43.174,0,5,17.9
17,46,Iowa State Univ,Cyclone Off-Road Racing,2,0,5,0,0,5,17.9
18,51,Pittsburg State University,PSU Gorilla Racing,2,0,5,0,0,5,17.9
19,62,Centro Universitario Da FEI,Equipe FEI Baja,2,52.809,5,46.469,0,5,17.9
20,64,Bucknell Univ,Bucknell Baja,3,77.519,5,71.488,0,5,17.9
21,83,Michigan State University,MSU Baja Racing,3,20.841,5,36.376,0,5,17.9
22,85,Ohio Univ,Bobcat Baja,5,0,5,66.353,0,5,17.9
23,95,Johns Hopkins Univ,Blue Jay Racing,5,79.709,5,71.377,0,5,17.9
24,80,Oklahoma Christian Univ,OC Baja Racing,5,37.581,4,31.815,0,5,17.9
